Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,214068;0,821490;0,117900;3,569592;5291,000000;4593898136,832830;0,384435;0,040000;0,300000;0,095009;0,022892;0,901099;0,594646;0,064498;0,028681;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;-0,213787;0,830620;0,112007;3,534668;5291,000000;4698284308,723501;0,378898;0,040000;0,300000;0,088710;0,023297;0,908759;0,565789;0,062313;0,029228;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;-0,216052;0,823250;0,123686;3,568323;5291,000000;4590043246,892818;0,402625;0,040000;0,300000;0,101809;0,021878;0,917563;0,586716;0,070217;0,047244;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;-0,214598;0,829460;0,117573;3,536251;5291,000000;4700449536,425269;0,387929;0,040000;0,300000;0,090372;0,027201;0,905923;0,583700;0,073583;0,020243;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;-0,217198;0,826780;0,126998;3,556502;5291,000000;4634089746,492308;0,397104;0,040000;0,300000;0,104514;0,022484;0,899642;0,604563;0,081608;0,039604;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;-0,213582;0,831870;0,109967;3,539528;5291,000000;4674279016,423256;0,372425;0,040000;0,300000;0,088841;0,021127;0,924460;0,486653;0,057492;0,041667;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;-0,215925;0,824850;0,124368;3,568657;5291,000000;4608784481,754403;0,399101;0,040000;0,300000;0,099424;0,024943;0,896797;0,581132;0,078245;0,041916;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;-0,212447;0,820000;0,114354;3,570095;5291,000000;4589750299,074907;0,388269;0,040000;0,300000;0,088240;0,026114;0,882562;0,587669;0,054802;0,032000;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;-0,215003;0,827430;0,118964;3,549473;5291,000000;4657846613,906093;0,375139;0,040000;0,300000;0,096581;0,022383;0,913978;0,571429;0,068437;0,038986;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;-0,214981;0,819690;0,125278;3,590185;5291,000000;4539921404,810993;0,411528;0,040000;0,300000;0,095499;0,029779;0,921429;0,621716;0,058551;0,035294;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
11;-0,214557;0,832630;0,111693;3,515514;5291,000000;4750349481,788247;0,368493;0,040000;0,300000;0,092897;0,018796;0,909091;0,508197;0,071638;0,039175;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
12;-0,213132;0,821370;0,119890;3,569488;5291,000000;4602237838,236573;0,383162;0,040000;0,300000;0,087977;0,031913;0,932384;0,583026;0,061565;0,019120;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
13;-0,214464;0,824700;0,118848;3,554484;5291,000000;4643143768,426890;0,386185;0,040000;0,300000;0,094590;0,024258;0,913194;0,582205;0,059630;0,033531;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
14;-0,216492;0,827140;0,126736;3,548217;5291,000000;4660804538,319673;0,374823;0,040000;0,300000;0,101951;0,024785;0,930314;0,612053;0,068881;0,032882;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
15;-0,216208;0,814120;0,137506;3,605805;5291,000000;4488860963,550799;0,411250;0,040000;0,300000;0,099207;0,038299;0,919298;0,682616;0,063557;0,031311;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
16;-0,212757;0,815240;0,118179;3,595266;5291,000000;4499955071,199786;0,386470;0,040000;0,300000;0,092233;0,025946;0,902878;0,591071;0,058190;0,030829;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
17;-0,215563;0,833440;0,115602;3,529475;5291,000000;4723350215,205282;0,397626;0,040000;0,300000;0,094302;0,021300;0,892857;0,574371;0,073780;0,027254;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
18;-0,213626;0,823860;0,116068;3,568020;5291,000000;4586577102,058903;0,394045;0,040000;0,300000;0,090798;0,025270;0,942446;0,563707;0,057343;0,026769;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
19;-0,214950;0,827970;0,117492;3,541452;5291,000000;4679909137,088511;0,392595;0,040000;0,300000;0,094945;0,022547;0,917266;0,561616;0,069395;0,033730;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
20;-0,213740;0,827730;0,112089;3,541714;5291,000000;4673107280,552609;0,383553;0,040000;0,300000;0,091853;0,020236;0,874552;0,544885;0,069284;0,023810;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
21;-0,214712;0,833450;0,111858;3,519673;5291,000000;4737364349,723264;0,385781;0,040000;0,300000;0,091883;0,019975;0,935252;0,500000;0,075942;0,021277;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
22;-0,212230;0,820290;0,111607;3,578725;5291,000000;4575711575,031502;0,394669;0,040000;0,300000;0,086367;0,025240;0,882784;0,553672;0,052954;0,039216;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
23;-0,214621;0,817040;0,125785;3,598622;5291,000000;4526882867,837606;0,415222;0,040000;0,300000;0,094212;0,031574;0,913978;0,603333;0,056213;0,055449;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
24;-0,214528;0,829860;0,116646;3,526119;5291,000000;4709080589,684534;0,359341;0,040000;0,300000;0,094841;0,021805;0,930657;0,539615;0,078932;0,025000;0,000000;0,000000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
