Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,232568;0,887020;0,165924;3,637206;6416,000000;24630991796,356438;0,362747;0,040000;0,300000;0,157536;0,008388;0,938931;0,642140;0,198675;0,044643;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,235946;0,892650;0,175477;3,620778;6416,000000;24651975503,349770;0,365521;0,040000;0,300000;0,164683;0,010794;0,915129;0,687273;0,228571;0,039755;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,235731;0,884710;0,182028;3,641957;6416,000000;24586872276,929530;0,370599;0,040000;0,300000;0,172299;0,009729;0,914815;0,712251;0,196300;0,068249;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,235356;0,886870;0,178357;3,638263;6416,000000;24599235848,949875;0,362899;0,040000;0,300000;0,168709;0,009648;0,916667;0,680912;0,197072;0,050445;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,230384;0,876200;0,164572;3,677003;6416,000000;24511794632,372444;0,361301;0,040000;0,300000;0,154612;0,009960;0,904412;0,676550;0,167276;0,036554;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,233900;0,892150;0,171295;3,622045;6416,000000;24641482027,429510;0,345604;0,040000;0,300000;0,162772;0,008524;0,922794;0,678445;0,199262;0,054545;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,232473;0,876670;0,175203;3,671074;6416,000000;24522047737,906586;0,350204;0,040000;0,300000;0,164911;0,010292;0,906475;0,635000;0,188592;0,058333;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,233838;0,885790;0,172209;3,645577;6416,000000;24596425622,843414;0,379085;0,040000;0,300000;0,161640;0,010570;0,890511;0,717201;0,174332;0,046440;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,236787;0,889430;0,182911;3,629777;6416,000000;24629602702,510770;0,359732;0,040000;0,300000;0,173565;0,009346;0,944444;0,701987;0,218922;0,054755;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,233991;0,875850;0,177741;3,668080;6416,000000;24522772071,690350;0,376808;0,040000;0,300000;0,168249;0,009492;0,932143;0,719677;0,176106;0,061453;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
