Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;19361;44061;34176;2402;183433,12;152678,92;55029,94;366866,25;0.00;0.00;0,183421;0,103931;0,496524;0,265504;0;0;907,69;2059,49;4028,92;0,024020;0,00;0,024020;0,024020
2;15921;44608;37202;2269;178197,76;147495,57;53459,33;356395,52;0.00;0.00;0,173697;0,115894;0,481584;0,289162;0;0;894,99;1988,40;3494,57;0,022690;0,00;0,022690;0,022690
3;23972;42741;31121;2166;187688,84;156282,55;56306,65;375377,67;0.00;0.00;0,191994;0,139286;0,509951;0,245457;0;0;940,71;2135,70;4635,97;0,021660;0,00;0,021660;0,021660
4;17164;44259;36325;2252;180048,31;149262,16;54014,49;360096,61;0.00;0.00;0,177146;0,209830;0,488313;0,279756;0;0;899,29;2007,95;3661,35;0,022520;0,00;0,022520;0,022520
5;20854;43850;32945;2351;185434,32;153701,17;55630,30;370868,64;0.00;0.00;0,186661;0,123669;0,503879;0,255407;0;0;917,19;2096,76;4233,12;0,023510;0,00;0,023510;0,023510
6;17995;44367;35375;2263;181826,94;150964,04;54548,08;363653,87;0.00;0.00;0,179027;0,044413;0,491498;0,274680;0;0;909,38;2030,49;3775,15;0,022630;0,00;0,022630;0,022630
7;23982;43009;30637;2372;189053,72;158035,86;56716,12;378107,44;0.00;0.00;0,193447;0,198893;0,515583;0,238342;0;0;936,11;2142,96;4598,96;0,023720;0,00;0,023720;0,023720
8;22091;43552;32143;2214;186915,74;155551,49;56074,72;373831,48;0.00;0.00;0,188269;0,144217;0,506256;0,251208;0;0;925,69;2108,80;4409,36;0,022140;0,00;0,022140;0,022140
9;19487;44041;34165;2307;183563,39;152315,15;55069,02;367126,78;0.00;0.00;0,183183;0,182872;0,496896;0,266068;0;0;909,11;2063,47;4046,51;0,023070;0,00;0,023070;0,023070
10;18952;44587;34246;2215;184137,60;152752,73;55241,28;368275,19;0.00;0.00;0,180525;0,098803;0,495013;0,266880;0;0;911,24;2055,18;3934,42;0,022150;0,00;0,022150;0,022150
11;20185;44289;33287;2239;185407,92;153462,06;55622,38;370815,85;0.00;0.00;0,184020;0,183330;0,500718;0,260654;0;0;914,24;2076,86;4164,95;0,022390;0,00;0,022390;0,022390
12;21164;43783;32732;2321;186228,17;154616,04;55868,45;372456,33;0.00;0.00;0,186930;0,134510;0,506321;0,252661;0;0;918,56;2093,84;4297,99;0,023210;0,00;0,023210;0,023210
13;21546;44395;31803;2256;186921,91;156103,03;56076,57;373843,82;0.00;0.00;0,186368;0,097914;0,507021;0,250219;0;0;927,60;2111,17;4350,96;0,022560;0,00;0,022560;0,022560
14;18015;44413;35271;2301;180742,25;150036,04;54222,68;361484,51;0.00;0.00;0,179316;0,138541;0,489352;0,277407;0;0;903,94;2033,15;3813,95;0,023010;0,00;0,023010;0,023010
15;22184;43526;32133;2157;186468,43;155283,14;55940,53;372936,86;0.00;0.00;0,188052;0,155103;0,504817;0,252849;0;0;934,58;2112,74;4402,36;0,021570;0,00;0,021570;0,021570
16;19977;44482;33262;2279;184892,42;153768,26;55467,73;369784,83;0.00;0.00;0,183557;0,214949;0,501868;0,257560;0;0;925,06;2081,65;4136,22;0,022790;0,00;0,022790;0,022790
17;18559;44566;34525;2350;183802,57;152515,62;55140,77;367605,14;0.00;0.00;0,180929;0,198757;0,497745;0,266488;0;0;909,19;2047,92;3897,81;0,023500;0,00;0,023500;0,023500
18;19238;44324;34207;2231;183195,49;152276,14;54958,65;366390,98;0.00;0.00;0,181759;0,154125;0,497412;0,264336;0;0;916,59;2064,75;3994,59;0,022310;0,00;0,022310;0,022310
19;19656;44252;33825;2267;184320,02;153249,79;55296,01;368640,03;0.00;0.00;0,183116;0,178206;0,500711;0,261753;0;0;914,56;2070,81;4076,22;0,022670;0,00;0,022670;0,022670
20;17727;43993;35957;2323;180335,63;149249,59;54100,69;360671,26;0.00;0.00;0,179524;0,116498;0,488121;0,279479;0;0;902,54;2014,45;3750,30;0,023230;0,00;0,023230;0,023230
21;15074;44843;37858;2225;178239,43;147548,93;53471,83;356478,85;0.00;0.00;0,170579;0,119874;0,479557;0,291731;0;0;890,25;1970,25;3401,07;0,022250;0,00;0,022250;0,022250
22;17376;44293;35970;2361;179590,52;148832,84;53877,16;359181,04;0.00;0.00;0,178550;0,191264;0,486819;0,280790;0;0;898,81;2017,90;3663,07;0,023610;0,00;0,023610;0,023610
23;24533;42938;30253;2276;189024,98;157840,64;56707,50;378049,97;0.00;0.00;0,193478;0,172061;0,514156;0,239678;0;0;943,64;2161,77;4628,75;0,022760;0,00;0,022760;0,022760
24;13881;45439;38380;2300;176330,53;145895,93;52899,16;352661,07;0.00;0.00;0,167672;0,146609;0,475508;0,298651;0;0;885,98;1953,69;3293,65;0,023000;0,00;0,023000;0,023000
25;17486;44904;35303;2307;181667,87;150554,48;54500,36;363335,74;0.00;0.00;0,177805;0,139577;0,491624;0,274917;0;0;903,01;2030,48;3697,19;0,023070;0,00;0,023070;0,023070
26;18333;44482;34865;2320;182264,06;151317,32;54679,22;364528,12;0.00;0.00;0,180429;0,182705;0,493769;0,270478;0;0;907,79;2035,03;3852,37;0,023200;0,00;0,023200;0,023200
27;20649;43800;33174;2377;185551,77;153438,54;55665,53;371103,54;0.00;0.00;0,186515;0,150193;0,500493;0,258643;0;0;914,76;2084,77;4206,76;0,023770;0,00;0,023770;0,023770
28;16880;44573;36243;2304;180189,92;148986,83;54056,98;360379,84;0.00;0.00;0,176538;0,135761;0,486827;0,280021;0;0;890,26;2006,24;3608,70;0,023040;0,00;0,023040;0,023040
29;17771;44875;35146;2208;182339,21;151422,37;54701,76;364678,41;0.00;0.00;0,177759;0,174316;0,493229;0,271171;0;0;911,04;2038,70;3757,97;0,022080;0,00;0,022080;0,022080
30;19405;44423;34008;2164;184089,96;152963,18;55226,99;368179,93;0.00;0.00;0,181493;0,200427;0,498303;0,263880;0;0;918,78;2066,49;4021,77;0,021640;0,00;0,021640;0,021640
