Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,213946;0,806440;0,117742;3,502431;4916,000000;-1919386228,211578;0,402173;0,040000;0,300000;0,093320;0,024422;0,920578;0,584871;0,069157;0,036260;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,210299;0,801130;0,110040;3,515706;4916,000000;-1979032735,516363;0,403353;0,040000;0,300000;0,080632;0,029407;0,897163;0,545133;0,057482;0,026022;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,212050;0,793530;0,125781;3,548687;4916,000000;-2070983338,451322;0,436446;0,040000;0,300000;0,082188;0,043594;0,937956;0,617152;0,064564;0,024735;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,210038;0,806040;0,106658;3,500645;4916,000000;-1909461944,769632;0,423279;0,040000;0,300000;0,074984;0,031674;0,889680;0,532946;0,061698;0,018416;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,211516;0,796320;0,119713;3,531870;4916,000000;-2020267532,316953;0,407075;0,040000;0,300000;0,084283;0,035430;0,901460;0,552308;0,068467;0,034926;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,213691;0,814290;0,112922;3,467729;4916,000000;-1821406856,878814;0,375834;0,040000;0,300000;0,091136;0,021786;0,920290;0,536765;0,060043;0,038536;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,207923;0,789220;0,109528;3,557020;4916,000000;-2086099793,520139;0,429828;0,040000;0,300000;0,071385;0,038143;0,875912;0,543720;0,057429;0,012727;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,212764;0,798680;0,122923;3,519780;4916,000000;-1980706247,667538;0,407254;0,040000;0,300000;0,088743;0,034180;0,898601;0,613377;0,063881;0,032847;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,212873;0,805220;0,118839;3,501762;4916,000000;-1917274290,135011;0,402979;0,040000;0,300000;0,087549;0,031291;0,925795;0,573975;0,067581;0,029630;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,212651;0,792990;0,127004;3,535533;4916,000000;-2030440709,747192;0,410983;0,040000;0,300000;0,090012;0,036991;0,920290;0,627726;0,067797;0,035382;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,210519;0,806090;0,107474;3,491985;4916,000000;-1904338246,860201;0,390395;0,040000;0,300000;0,081444;0,026030;0,894366;0,524366;0,065820;0,019011;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,212931;0,806730;0,116532;3,494688;4916,000000;-1902589778,042167;0,391551;0,040000;0,300000;0,088655;0,027877;0,927007;0,568905;0,064694;0,026871;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
13;-0,212092;0,803470;0,113752;3,515223;4916,000000;-1969094604,706212;0,416521;0,040000;0,300000;0,086311;0,027441;0,919014;0,539519;0,061286;0,027726;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
14;-0,213400;0,804320;0,121669;3,503139;4916,000000;-1932653701,735844;0,406010;0,040000;0,300000;0,090369;0,031300;0,927586;0,575488;0,071111;0,039548;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
15;-0,213153;0,788080;0,136774;3,556815;4916,000000;-2095824237,305065;0,448658;0,040000;0,300000;0,085771;0,051003;0,916376;0,661829;0,072505;0,036900;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
16;-0,209164;0,789850;0,118199;3,560165;4916,000000;-2105087590,939430;0,432211;0,040000;0,300000;0,073471;0,044728;0,908127;0,583056;0,069438;0,016334;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
17;-0,211481;0,806650;0,110627;3,493705;4916,000000;-1900791026,322192;0,400062;0,040000;0,300000;0,083172;0,027455;0,891608;0,557540;0,067023;0,021113;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
18;-0,212422;0,805880;0,115447;3,505702;4916,000000;-1943601635,867362;0,419557;0,040000;0,300000;0,084065;0,031382;0,953737;0,554328;0,063298;0,031365;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
19;-0,213854;0,804480;0,121853;3,494164;4916,000000;-1899493709,810145;0,406825;0,040000;0,300000;0,091390;0,030463;0,912281;0,579310;0,073086;0,030476;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
20;-0,212807;0,805000;0,116388;3,500133;4916,000000;-1922681273,574680;0,395726;0,040000;0,300000;0,088055;0,028332;0,884892;0,577513;0,063627;0,020913;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
21;-0,213445;0,812210;0,113629;3,462299;4916,000000;-1815903535,875262;0,393178;0,040000;0,300000;0,091620;0,022008;0,920415;0,488048;0,081522;0,040000;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
22;-0,213817;0,798860;0,129708;3,518608;4916,000000;-1985715889,428875;0,394231;0,040000;0,300000;0,093296;0,036412;0,884615;0,609831;0,075590;0,042514;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
23;-0,210693;0,787770;0,127242;3,562202;4916,000000;-2089699575,806024;0,441011;0,040000;0,300000;0,075912;0,051330;0,908425;0,603801;0,070491;0,030797;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
24;-0,211216;0,804610;0,110332;3,490299;4916,000000;-1906864265,670825;0,398847;0,040000;0,300000;0,084184;0,026148;0,925267;0,510397;0,071196;0,017208;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
25;-0,211752;0,810520;0,109724;3,493146;4916,000000;-1889880457,453658;0,396196;0,040000;0,300000;0,082457;0,027267;0,898601;0,505455;0,063708;0,020833;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
