Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;80367;6485;2508;10640;111475,58;75318,26;33442,67;222951,16;0.00;0.00;0,345593;0,086216;0,663394;0,020984;0;0;0,00;1703,52;4002,90;0,106400;0,00;0,200900;0,196330
2;86314;3720;1438;8528;119463,68;81756,09;35839,10;238927,36;0.00;0.00;0,296302;0,125780;0,669042;0,016112;0;0;0,00;1863,61;4066,72;0,085280;0,00;0,143410;0,136860
3;82670;5812;1906;9612;114763,78;77760,57;34429,13;229527,55;0.00;0.00;0,326497;0,048020;0,667192;0,018735;0;0;0,00;1772,49;4026,64;0,096120;0,00;0,178790;0,173300
4;82552;5786;1929;9733;114269,68;77947,64;34280,90;228539,36;0.00;0.00;0,327293;0,188559;0,666997;0,018734;0;0;0,00;1764,35;4028,90;0,097330;0,00;0,179950;0,174480
5;84184;4848;1510;9458;115831,25;78931,40;34749,37;231662,50;0.00;0.00;0,314449;0,164337;0,667677;0,016767;0;0;0,00;1811,44;4050,25;0,094580;0,00;0,164560;0,158160
6;82798;5674;1967;9561;114320,97;77664,17;34296,29;228641,94;0.00;0.00;0,325020;0,225614;0,666962;0,017532;0;0;0,00;1776,68;4025,11;0,095610;0,00;0,177710;0,172020
7;84309;4832;1515;9344;116472,71;79241,26;34941,81;232945,41;0.00;0.00;0,313059;0,141754;0,667937;0,016832;0;0;0,00;1815,02;4037,03;0,093440;0,00;0,163470;0,156910
8;86913;2850;1536;8701;120271,14;81683,48;36081,34;240542,27;0.00;0.00;0,291868;0,148113;0,666846;0,017268;0;0;0,00;1882,29;4070,60;0,087010;0,00;0,138040;0,130870
9;83261;5418;1691;9630;115053,61;78319,74;34516,08;230107,22;0.00;0.00;0,321552;0,115364;0,666808;0,017419;0;0;0,00;1784,88;4033,96;0,096300;0,00;0,172650;0,167390
10;83793;4843;1524;9840;116280,98;78757,24;34884,29;232561,96;0.00;0.00;0,317213;0,146970;0,666755;0,017515;0;0;0,00;1799,42;4030,52;0,098400;0,00;0,168020;0,162070
11;81533;6116;2286;10065;113425,38;76918,59;34027,62;226850,77;0.00;0.00;0,335391;0,056900;0,665374;0,019816;0;0;0,00;1737,81;4000,74;0,100650;0,00;0,190080;0,184670
12;86802;2863;1583;8752;120098,78;82144,59;36029,64;240197,57;0.00;0.00;0,293015;0,115404;0,666768;0,018021;0;0;0,00;1882,66;4068,39;0,087520;0,00;0,139230;0,131980
13;82514;5279;1749;10458;114308,12;77955,27;34292,44;228616,24;0.00;0.00;0,327935;0,150855;0,666245;0,019462;0;0;0,00;1764,58;4028,45;0,104580;0,00;0,180550;0,174860
14;82956;5652;1722;9670;115725,03;78325,89;34717,51;231450,06;0.00;0.00;0,324025;0,173321;0,666583;0,017956;0;0;0,00;1774,57;4028,16;0,096700;0,00;0,176230;0,170440
15;81435;6208;2002;10355;113548,68;76469,65;34064,60;227097,37;0.00;0.00;0,337150;0,129008;0,666297;0,019544;0;0;0,00;1737,96;4021,05;0,103550;0,00;0,190980;0,185650
16;86263;3125;1490;9122;119147,42;80481,09;35744,23;238294,85;0.00;0.00;0,297272;0,158636;0,666505;0,017075;0;0;0,00;1862,91;4062,23;0,091220;0,00;0,144380;0,137370
17;81987;6111;2063;9839;113603,87;77148,47;34081,16;227207,73;0.00;0.00;0,332658;0,124821;0,666343;0,018573;0;0;0,00;1750,29;4024,95;0,098390;0,00;0,185710;0,180130
18;84914;4402;1448;9236;116651,20;79533,07;34995,36;233302,39;0.00;0.00;0,307782;0,127593;0,668313;0,016396;0;0;0,00;1836,16;4060,26;0,092360;0,00;0,157560;0,150860
19;86368;3581;1407;8644;119458,50;82046,75;35837,55;238916,99;0.00;0.00;0,295846;0,060698;0,667118;0,016445;0;0;0,00;1864,20;4074,46;0,086440;0,00;0,143190;0,136320
20;83332;5553;1705;9410;115389,02;78115,26;34616,71;230778,04;0.00;0.00;0,321358;0,164860;0,667068;0,018059;0;0;0,00;1785,13;4040,85;0,094100;0,00;0,172570;0,166680
