Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,202215;0,697450;0,139080;3,643362;4666,000000;-6996638208,669870;0,245630;0,040000;0,300000;0,080217;0,058863;0,755319;0,402235;0,130181;0,041026;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,197724;0,626390;0,174395;3,751327;4666,000000;-7212370412,995208;0,109465;0,040000;0,305377;0,055585;0,118811;0,702509;0,480299;0,177488;0,023569;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,199721;0,674190;0,147114;3,685609;4666,000000;-7086708840,569480;0,218124;0,040000;0,300000;0,068059;0,079054;0,742160;0,422092;0,135870;0,038786;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,200889;0,670370;0,157215;3,691568;4666,000000;-7102832190,060884;0,196658;0,040000;0,300000;0,071163;0,086052;0,724382;0,476969;0,144780;0,032534;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,200532;0,654890;0,166560;3,702067;4666,000000;-7123489563,698662;0,144789;0,040000;0,300000;0,071138;0,095421;0,740351;0,465933;0,161042;0,033557;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,198159;0,679820;0,139340;3,676145;4666,000000;-7080464242,524405;0,206928;0,040000;0,300000;0,062824;0,076515;0,760417;0,423831;0,119773;0,028961;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,200351;0,654910;0,165954;3,711031;4666,000000;-7138995088,118554;0,141680;0,040000;0,300000;0,071169;0,094785;0,729167;0,483669;0,156665;0,016949;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,200207;0,608130;0,195485;3,772688;4666,000000;-7276130173,559402;0,058168;0,040000;0,313212;0,064033;0,131452;0,700000;0,508899;0,211384;0,026711;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,200276;0,669220;0,154348;3,685525;4666,000000;-7085276933,022945;0,180654;0,040000;0,300000;0,071522;0,082826;0,728522;0,439449;0,145996;0,040678;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,203088;0,652170;0,183238;3,704346;4666,000000;-7128925900,208145;0,114749;0,040000;0,300000;0,080306;0,102932;0,791809;0,505119;0,178904;0,033898;0,000910;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,200404;0,687830;0,139571;3,659972;4666,000000;-7027067394,943465;0,243167;0,040000;0,300000;0,072130;0,067441;0,751724;0,414966;0,122654;0,032646;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,201101;0,611420;0,197521;3,770242;4666,000000;-7263728659,308960;0,046680;0,040000;0,311450;0,068948;0,128573;0,753472;0,506931;0,211455;0,033389;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
13;-0,205015;0,662250;0,183880;3,691778;4666,000000;-7108283131,139036;0,143513;0,040000;0,300000;0,087265;0,096615;0,743056;0,504881;0,185750;0,050336;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
14;-0,200461;0,667470;0,160331;3,692216;4666,000000;-7088265499,807555;0,188007;0,040000;0,300000;0,068729;0,091602;0,756014;0,464748;0,150280;0,027027;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
