Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95;Public_Auto_mean;Public_Auto_std;Public_Auto_p05;Public_Auto_p95;Agri_Auto_mean;Agri_Auto_std;Agri_Auto_p05;Agri_Auto_p95;EffectiveBDP_mean;EffectiveBDP_std;EffectiveBDP_p05;EffectiveBDP_p95;BPO_Sigma_mean;BPO_Sigma_std;BPO_Sigma_p05;BPO_Sigma_p95;Manuf_Sigma_mean;Manuf_Sigma_std;Manuf_Sigma_p05;Manuf_Sigma_p95;Retail_Sigma_mean;Retail_Sigma_std;Retail_Sigma_p05;Retail_Sigma_p95;Health_Sigma_mean;Health_Sigma_std;Health_Sigma_p05;Health_Sigma_p95;Public_Sigma_mean;Public_Sigma_std;Public_Sigma_p05;Public_Sigma_p95;Agri_Sigma_mean;Agri_Sigma_std;Agri_Sigma_p05;Agri_Sigma_p95;MeanDegree_mean;MeanDegree_std;MeanDegree_p05;MeanDegree_p95;IoFlows_mean;IoFlows_std;IoFlows_p05;IoFlows_p95;IoGdpRatio_mean;IoGdpRatio_std;IoGdpRatio_p05;IoGdpRatio_p95
1;0,013797;0,000039;0,013732;0,013847;0,002080;0,000000;0,002080;0,002080;0,000363;0,000235;0,000000;0,000900;4,330183;0,000087;4,330063;4,330331;8268,073113;0,000000;8268,073113;8268,073113;-73445973,001379;110663,036972;-73618844,641660;-73260522,492646;0,034436;0,080562;0,000000;0,212547;0,052260;0,000005;0,052253;0,052268;0,999944;0,000011;0,999926;0,999957;0,000163;0,000133;0,000000;0,000400;0,000200;0,000165;0,000000;0,000600;0,001333;0,002373;0,000000;0,006667;0,000313;0,000477;0,000000;0,001251;0,000607;0,000417;0,000000;0,001556;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2;0,009023;0,000079;0,008901;0,009136;0,002070;0,000000;0,002070;0,002070;0,000700;0,000286;0,000300;0,001300;4,330434;0,000096;4,330310;4,330604;8269,902672;0,155860;8269,541523;8270,136824;-146722379,660633;227932,517606;-147101447,161833;-146351717,283966;0,051748;0,082088;0,000000;0,215280;0,048596;0,000004;0,048590;0,048603;0,999767;0,000025;0,999728;0,999802;0,000263;0,000156;0,000100;0,000500;0,000437;0,000224;0,000100;0,001000;0,002890;0,002949;0,000000;0,006689;0,000583;0,000602;0,000000;0,001875;0,001148;0,000526;0,000444;0,002222;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,005347;0,000120;0,005165;0,005512;0,002070;0,000000;0,002070;0,002070;0,001100;0,000428;0,000400;0,001700;4,330750;0,000130;4,330543;4,330988;8271,519275;0,299274;8270,821648;8271,913251;-219865106,262680;349601,507197;-220447461,966229;-219318381,839881;0,049924;0,072684;0,000000;0,179460;0,046035;0,000006;0,046025;0,046044;0,999498;0,000042;0,999434;0,999553;0,000343;0,000189;0,000100;0,000600;0,000757;0,000345;0,000300;0,001400;0,004001;0,004164;0,000000;0,013333;0,001042;0,000859;0,000000;0,002500;0,001800;0,000785;0,000889;0,003334;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,002512;0,000175;0,002285;0,002777;0,002061;0,000003;0,002060;0,002070;0,001543;0,000581;0,000500;0,002300;4,331130;0,000171;4,330828;4,331393;8272,925770;0,477743;8271,953096;8273,491528;-292926049,425328;474015,721142;-293727917,686969;-292192336,951736;0,040359;0,049933;0,000000;0,148696;0,044245;0,000007;0,044234;0,044257;0,999156;0,000067;0,999065;0,999251;0,000433;0,000224;0,000100;0,000900;0,001110;0,000438;0,000400;0,001700;0,005667;0,003767;0,000000;0,013333;0,001688;0,000943;0,000000;0,003750;0,002445;0,001087;0,000889;0,004223;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;0,000316;0,000241;0,000009;0,000757;0,002059;0,000004;0,002050;0,002060;0,002047;0,000750;0,000600;0,002900;4,331555;0,000216;4,331160;4,331891;8274,095905;0,723839;8272,886173;8275,179330;-365950121,808105;599699,299726;-366974055,104899;-365001348,332891;0,035830;0,042139;0,000000;0,135024;0,042995;0,000008;0,042982;0,043007;0,998756;0,000098;0,998630;0,998921;0,000520;0,000268;0,000100;0,001000;0,001527;0,000555;0,000400;0,002401;0,007890;0,004751;0,000000;0,016667;0,002271;0,001169;0,000625;0,005000;0,003208;0,001276;0,000889;0,005111;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;-0,001402;0,000314;-0,001902;-0,000780;0,002055;0,000005;0,002050;0,002060;0,002580;0,000904;0,000800;0,003701;4,332038;0,000279;4,331559;4,332545;8275,003104;1,059500;8273,511603;8276,877397;-438971432,008928;730852,558123;-440201054,211375;-437790261,217621;0,033303;0,036192;0,000000;0,114217;0,042123;0,000009;0,042109;0,042144;0,998306;0,000137;0,998109;0,998563;0,000640;0,000352;0,000200;0,001200;0,001940;0,000658;0,000600;0,003101;0,010450;0,005887;0,000000;0,020000;0,002917;0,001410;0,000625;0,005625;0,003979;0,001510;0,001112;0,006001;0,000167;0,000500;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;-0,002769;0,000397;-0,003456;-0,002095;0,002061;0,000029;0,002040;0,002160;0,003230;0,001116;0,001100;0,004700;4,332575;0,000323;4,332021;4,333092;8275,610538;1,466464;8273,610860;8277,979869;-512015843,911775;867639,921624;-513422280,617894;-510574791,699298;0,027765;0,027497;0,000000;0,086275;0,041516;0,000009;0,041501;0,041534;0,997810;0,000183;0,997520;0,998171;0,000783;0,000432;0,000300;0,001600;0,002447;0,000857;0,000800;0,003601;0,013343;0,007405;0,003333;0,023333;0,004126;0,001727;0,000625;0,007500;0,004801;0,001841;0,001556;0,007557;0,000167;0,000500;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;-0,003873;0,000490;-0,004707;-0,003029;0,002184;0,000192;0,002040;0,002550;0,003924;0,001284;0,001700;0,005800;4,333145;0,000391;4,332566;4,333800;8275,875445;1,980146;8273,203799;8279,251392;-585107120,844783;1005669,172370;-586663205,497432;-583383370,651467;0,024739;0,021793;0,000000;0,060331;0,041093;0,000011;0,041079;0,041111;0,997274;0,000239;0,996864;0,997702;0,000910;0,000522;0,000300;0,001800;0,003014;0,000969;0,001300;0,004302;0,016236;0,008202;0,003333;0,030000;0,005043;0,001825;0,002502;0,008125;0,005809;0,002120;0,001779;0,008889;0,000278;0,000621;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;-0,004791;0,000594;-0,005791;-0,003771;0,002375;0,000395;0,002040;0,003110;0,004698;0,001458;0,002000;0,006803;4,333767;0,000435;4,333068;4,334485;8275,791501;2,579596;8272,161375;8280,552891;-658252992,558115;1149360,804295;-659968211,562060;-656250467,316124;0,021979;0,021206;0,000000;0,046095;0,040799;0,000010;0,040785;0,040817;0,996698;0,000305;0,996158;0,997217;0,001087;0,000593;0,000400;0,002200;0,003611;0,001055;0,001600;0,005202;0,020019;0,009585;0,003333;0,033445;0,006419;0,002041;0,003125;0,009375;0,006787;0,002412;0,002668;0,010007;0,000278;0,000621;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;-0,005579;0,000696;-0,006720;-0,004382;0,002673;0,000601;0,002030;0,003550;0,005578;0,001516;0,002601;0,007301;4,334422;0,000446;4,333695;4,335123;8275,306430;3,298924;8270,582816;8281,417380;-731469039,746651;1292648,639703;-733340914,204804;-729155796,417911;0,020072;0,018830;0,000000;0,041240;0,040596;0,000008;0,040584;0,040609;0,996082;0,000381;0,995420;0,996734;0,001260;0,000644;0,000500;0,002400;0,004318;0,001061;0,002100;0,005602;0,024253;0,009655;0,010000;0,040000;0,007795;0,002264;0,004375;0,011875;0,007965;0,002524;0,003112;0,011116;0,000333;0,000667;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
