Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;80510;6413;2552;10525;110188,28;94896,90;33056,49;220376,57;0.00;0.00;0,343843;0,075080;0,665178;0,021021;0;0;0,00;1773,28;3890,45;0,105250;0,00;0,199710;0,194900
2;85676;4536;1510;8278;116345,90;100041,45;34903,77;232691,80;0.00;0.00;0,302212;0,084733;0,667973;0,016854;0;0;0,00;1922,05;3934,64;0,082780;0,00;0,149950;0,143240
3;82082;6140;2072;9706;112553,32;96502,26;33765,99;225106,63;0.00;0.00;0,331551;0,061348;0,666032;0,018834;0;0;0,00;1812,47;3913,10;0,097060;0,00;0,183940;0,179180
4;80868;6132;2394;10606;110220,05;94881,18;33066,01;220440,10;0.00;0.00;0,341737;0,153230;0,666159;0,020436;0;0;0,00;1776,31;3902,08;0,106060;0,00;0,196020;0,191320
5;85583;3701;1571;9145;115981,16;100080,96;34794,35;231962,32;0.00;0.00;0,302640;0,090878;0,668080;0,017217;0;0;0,00;1914,00;3933,78;0,091450;0,00;0,150940;0,144170
6;81761;6002;2215;10022;111321,47;96129,26;33396,44;222642,94;0.00;0.00;0,334232;0,085110;0,666550;0,018747;0;0;0,00;1811,00;3898,27;0,100220;0,00;0,188100;0,182390
7;83334;5430;1768;9468;113266,47;97558,68;33979,94;226532,94;0.00;0.00;0,321204;0,122209;0,667579;0,017729;0;0;0,00;1850,61;3917,72;0,094680;0,00;0,172420;0,166660
8;87993;2806;1518;7683;118879,69;102817,35;35663,91;237759,39;0.00;0.00;0,282780;0,106433;0,668316;0,016093;0;0;0,00;1970,90;3952,65;0,076830;0,00;0,128760;0,120070
9;80926;6396;2479;10199;110840,90;95517,11;33252,27;221681,80;0.00;0.00;0,341132;0,091554;0,665559;0,020242;0;0;0,00;1773,66;3890,14;0,101990;0,00;0,195510;0,190740
10;84295;5167;1664;8874;115530,65;99553,56;34659,19;231061,30;0.00;0.00;0,313030;0,070424;0,666249;0,018353;0;0;0,00;1879,35;3924,20;0,088740;0,00;0,162860;0,157050
11;82849;5646;1835;9670;113708,77;97735,31;34112,63;227417,54;0.00;0.00;0,325723;0,108002;0,666600;0,018412;0;0;0,00;1835,09;3901,93;0,096700;0,00;0,177090;0,171510
12;82314;5867;2131;9688;112027,19;96828,91;33608,16;224054,38;0.00;0.00;0,329346;0,106693;0,667165;0,018323;0;0;0,00;1815,87;3903,41;0,096880;0,00;0,182070;0,176860
13;86082;3492;1532;8894;116906,08;100816,08;35071,82;233812,16;0.00;0.00;0,298745;0,131537;0,668081;0,016867;0;0;0,00;1926,02;3937,96;0,088940;0,00;0,145860;0,139180
14;83077;5758;1782;9383;113688,85;98007,95;34106,65;227377,69;0.00;0.00;0,322631;0,103835;0,667432;0,018048;0;0;0,00;1852,93;3901,56;0,093830;0,00;0,175770;0,169230
15;83039;5625;1883;9453;113378,86;97858,37;34013,66;226757,71;0.00;0.00;0,323545;0,089105;0,666389;0,018680;0;0;0,00;1844,02;3910,81;0,094530;0,00;0,175600;0,169610
16;87554;2672;1625;8149;119327,71;103012,07;35798,31;238655,41;0.00;0.00;0,286278;0,038526;0,666809;0,018001;0;0;0,00;1967,66;3951,65;0,081490;0,00;0,131920;0,124460
17;84153;4877;1581;9389;115079,12;99354,55;34523,74;230158,25;0.00;0.00;0,314227;0,177662;0,668387;0,017450;0;0;0,00;1881,57;3920,24;0,093890;0,00;0,164240;0,158470
18;87715;2777;1799;7709;120032,86;103590,87;36009,86;240065,71;0.00;0.00;0,284792;0,117419;0,665666;0,020012;0;0;0,00;1970,28;3953,31;0,077090;0,00;0,130280;0,122850
19;88157;2812;1924;7107;123526,03;106383,47;37057,81;247052,06;0.00;0.00;0,281191;0,140566;0,666957;0,020459;0;0;0,00;1983,45;3949,90;0,071070;0,00;0,127240;0,118430
20;82341;5862;1998;9799;111975,80;96452,30;33592,74;223951,60;0.00;0.00;0,329353;0,084953;0,666354;0,018824;0;0;0,00;1825,82;3910,86;0,097990;0,00;0,182500;0,176590
