Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95;Public_Auto_mean;Public_Auto_std;Public_Auto_p05;Public_Auto_p95;Agri_Auto_mean;Agri_Auto_std;Agri_Auto_p05;Agri_Auto_p95;EffectiveBDP_mean;EffectiveBDP_std;EffectiveBDP_p05;EffectiveBDP_p95;BPO_Sigma_mean;BPO_Sigma_std;BPO_Sigma_p05;BPO_Sigma_p95;Manuf_Sigma_mean;Manuf_Sigma_std;Manuf_Sigma_p05;Manuf_Sigma_p95;Retail_Sigma_mean;Retail_Sigma_std;Retail_Sigma_p05;Retail_Sigma_p95;Health_Sigma_mean;Health_Sigma_std;Health_Sigma_p05;Health_Sigma_p95;Public_Sigma_mean;Public_Sigma_std;Public_Sigma_p05;Public_Sigma_p95;Agri_Sigma_mean;Agri_Sigma_std;Agri_Sigma_p05;Agri_Sigma_p95;MeanDegree_mean;MeanDegree_std;MeanDegree_p05;MeanDegree_p95;IoFlows_mean;IoFlows_std;IoFlows_p05;IoFlows_p95;IoGdpRatio_mean;IoGdpRatio_std;IoGdpRatio_p05;IoGdpRatio_p95
1;0,013797;0,000043;0,013707;0,013856;0,002080;0,000000;0,002080;0,002080;0,000417;0,000235;0,000100;0,000800;4,330255;0,000091;4,330127;4,330417;8268,073113;0,000000;8268,073113;8268,073113;-73747340,689419;102613,438004;-73894710,523607;-73554130,347196;0,004546;0,017024;0,000000;0,065572;0,052264;0,000005;0,052257;0,052273;0,999944;0,000012;0,999919;0,999960;0,000157;0,000138;0,000000;0,000400;0,000260;0,000176;0,000100;0,000600;0,000556;0,001511;0,000000;0,003333;0,000542;0,000576;0,000000;0,001250;0,000689;0,000415;0,000222;0,001556;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2;0,009018;0,000093;0,008843;0,009141;0,002070;0,000000;0,002070;0,002070;0,000820;0,000298;0,000300;0,001400;4,330592;0,000108;4,330400;4,330765;8269,901018;0,145609;8269,660583;8270,097137;-147324091,310064;206059,200699;-147652676,276395;-146943879,421252;0,020625;0,036937;0,000000;0,105142;0,048604;0,000005;0,048595;0,048613;0,999766;0,000029;0,999710;0,999804;0,000303;0,000199;0,000000;0,000700;0,000517;0,000228;0,000200;0,000900;0,002223;0,002331;0,000000;0,006667;0,001063;0,000742;0,000000;0,002500;0,001289;0,000583;0,000222;0,002222;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,005328;0,000145;0,005049;0,005529;0,002070;0,000000;0,002070;0,002070;0,001267;0,000466;0,000700;0,002000;4,330985;0,000142;4,330786;4,331233;8271,471309;0,294439;8271,039961;8271,952947;-220768714,342680;308551,843103;-221278515,626602;-220162637,732271;0,029351;0,048454;0,000000;0,110369;0,046044;0,000006;0,046036;0,046054;0,999492;0,000051;0,999399;0,999561;0,000410;0,000251;0,000100;0,001000;0,000857;0,000352;0,000400;0,001400;0,003779;0,003416;0,000000;0,010033;0,001667;0,000946;0,000000;0,003750;0,001963;0,000920;0,000667;0,003778;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,002470;0,000208;0,002030;0,002780;0,002062;0,000004;0,002060;0,002070;0,001757;0,000665;0,000900;0,002900;4,331448;0,000188;4,331163;4,331809;8272,802691;0,493726;8271,923289;8273,551088;-294133261,085625;417333,140467;-294845456,892225;-293281370,878270;0,028902;0,039653;0,000000;0,104850;0,044257;0,000007;0,044245;0,044271;0,999143;0,000080;0,998984;0,999258;0,000557;0,000300;0,000200;0,001200;0,001200;0,000480;0,000500;0,002100;0,005337;0,004995;0,000000;0,020000;0,002229;0,001137;0,000625;0,004375;0,002748;0,001248;0,001111;0,005111;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;0,000252;0,000286;-0,000329;0,000687;0,002060;0,000003;0,002060;0,002060;0,002317;0,000821;0,001000;0,003600;4,331950;0,000238;4,331584;4,332380;8273,851698;0,780009;8272,528808;8275,060184;-367464019,824969;531814,136019;-368399282,566109;-366367888,026175;0,028150;0,031927;0,000000;0,081396;0,043007;0,000009;0,042994;0,043023;0,998733;0,000117;0,998480;0,998904;0,000667;0,000382;0,000200;0,001300;0,001650;0,000576;0,000700;0,002501;0,007897;0,005948;0,000000;0,020067;0,003000;0,001411;0,000625;0,005625;0,003549;0,001466;0,001112;0,006222;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;-0,001481;0,000370;-0,002200;-0,000917;0,002070;0,000076;0,002050;0,002060;0,002914;0,000936;0,001500;0,004400;4,332493;0,000275;4,332083;4,333069;8274,591085;1,175064;8272,767032;8276,450394;-440792477,636062;652615,323011;-441991587,065875;-439426252,529924;0,025825;0,021951;0,000000;0,059877;0,042135;0,000008;0,042124;0,042149;0,998273;0,000163;0,997932;0,998515;0,000767;0,000425;0,000200;0,001600;0,002147;0,000648;0,001000;0,003200;0,010234;0,007011;0,000000;0,023333;0,004001;0,001851;0,001250;0,007505;0,004356;0,001669;0,002001;0,007780;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;-0,002852;0,000459;-0,003687;-0,002142;0,002117;0,000149;0,002050;0,002430;0,003524;0,001086;0,001801;0,005001;4,333065;0,000319;4,332612;4,333654;8275,007860;1,658739;8272,459286;8277,671998;-514136782,082431;775773,086137;-515583629,232783;-512491277,330929;0,023313;0,016688;0,000000;0,054067;0,041526;0,000009;0,041514;0,041540;0,997770;0,000217;0,997337;0,998095;0,000873;0,000483;0,000200;0,001701;0,002650;0,000711;0,001400;0,003701;0,012014;0,007991;0,000000;0,030100;0,005126;0,002221;0,001875;0,009381;0,005179;0,001885;0,002001;0,008446;0,000222;0,000711;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;-0,003966;0,000542;-0,004879;-0,003094;0,002270;0,000314;0,002040;0,002770;0,004331;0,001228;0,002201;0,006201;4,333700;0,000356;4,333164;4,334308;8275,113563;2,233958;8271,853742;8278,695118;-587516655,276222;906506,973843;-589228586,637020;-585583705,977180;0,019141;0,012646;0,003206;0,040179;0,041104;0,000009;0,041091;0,041122;0,997224;0,000276;0,996700;0,997653;0,001014;0,000525;0,000200;0,001801;0,003317;0,000861;0,001801;0,004701;0,015349;0,007653;0,006667;0,030100;0,006584;0,002670;0,001875;0,010632;0,006224;0,002029;0,002445;0,009780;0,000278;0,000870;0,000000;0,003333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;-0,004897;0,000622;-0,005841;-0,003905;0,002501;0,000475;0,002040;0,003320;0,005168;0,001354;0,002900;0,007302;4,334378;0,000396;4,333857;4,335037;8274,822774;2,852105;8270,732079;8279,410398;-660955147,411867;1039632,222795;-662914336,385966;-658755848,778638;0,019408;0,014267;0,002754;0,050146;0,040810;0,000010;0,040796;0,040828;0,996636;0,000342;0,996029;0,997171;0,001177;0,000577;0,000300;0,002000;0,003991;0,000939;0,002300;0,005502;0,019244;0,008212;0,006667;0,033557;0,007752;0,003338;0,001876;0,014375;0,007395;0,002230;0,003559;0,011119;0,000389;0,001026;0,000000;0,003333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;-0,005700;0,000707;-0,006719;-0,004546;0,002844;0,000642;0,002040;0,003980;0,006088;0,001516;0,003401;0,008203;4,335093;0,000441;4,334470;4,335951;8274,098455;3,514335;8268,836427;8279,569362;-734461369,955138;1168036,881737;-736665544,247666;-732011887,656660;0,017647;0,012109;0,002143;0,049160;0,040607;0,000010;0,040593;0,040624;0,996007;0,000414;0,995301;0,996655;0,001357;0,000634;0,000400;0,002501;0,004731;0,001066;0,002801;0,006303;0,022808;0,009006;0,013333;0,037037;0,008877;0,003526;0,003125;0,015625;0,008803;0,002564;0,004226;0,012900;0,000389;0,001026;0,000000;0,003333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
