Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,213218;0,809910;0,115925;3,489162;4916,000000;-1892371838,306777;0,398404;0,040000;0,300000;0,088947;0,026978;0,943060;0,577491;0,061256;0,020913;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,209555;0,798990;0,109873;3,524405;4916,000000;-2008771088,207636;0,403742;0,040000;0,300000;0,076126;0,033747;0,897527;0,548387;0,062413;0,011299;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,213292;0,807230;0,118305;3,485097;4916,000000;-1908107706,593246;0,390684;0,040000;0,300000;0,091607;0,026699;0,925000;0,524254;0,083770;0,045113;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,211983;0,815290;0,107178;3,466633;4916,000000;-1836864862,129552;0,398325;0,040000;0,300000;0,082918;0,024261;0,894366;0,490153;0,079898;0,019342;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,215408;0,806200;0,128944;3,500657;4916,000000;-1932097363,740300;0,396751;0,040000;0,300000;0,098350;0,030594;0,878893;0,603618;0,082707;0,035185;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,213287;0,804880;0,122600;3,513626;4916,000000;-1967475831,040982;0,414995;0,040000;0,300000;0,086627;0,035974;0,940351;0,605263;0,055118;0,035055;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,212187;0,800830;0,116651;3,514264;4916,000000;-1979730645,795501;0,398362;0,040000;0,300000;0,089840;0,026811;0,890071;0,553156;0,066635;0,035382;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,212241;0,807130;0,113310;3,486312;4916,000000;-1895825782,249611;0,382525;0,040000;0,300000;0,089690;0,023620;0,882979;0,564338;0,064824;0,033520;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,210139;0,795950;0,115046;3,524376;4916,000000;-2004431098,964352;0,391859;0,040000;0,300000;0,081027;0,034019;0,918440;0,543372;0,061252;0,033395;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,209527;0,794710;0,111371;3,536909;4916,000000;-2046303714,882997;0,434314;0,040000;0,300000;0,075701;0,035670;0,904594;0,593407;0,054453;0,031022;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,212530;0,807250;0,116940;3,499175;4916,000000;-1921218389,228931;0,406066;0,040000;0,300000;0,084457;0,032483;0,897163;0,585321;0,067506;0,026022;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,211534;0,800160;0,118965;3,517765;4916,000000;-1980516885,260217;0,395961;0,040000;0,300000;0,083780;0,035185;0,934066;0,558214;0,068680;0,014706;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
13;-0,211003;0,791930;0,120950;3,548267;4916,000000;-2078708804,998521;0,414468;0,040000;0,300000;0,082073;0,038877;0,924731;0,615987;0,056471;0,023339;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
14;-0,214517;0,812540;0,118148;3,467412;4916,000000;-1838089382,854399;0,400424;0,040000;0,300000;0,094420;0,023728;0,922261;0,566108;0,071282;0,033771;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
15;-0,211815;0,808790;0,109282;3,473618;4916,000000;-1865928223,655160;0,397183;0,040000;0,300000;0,084584;0,024697;0,918728;0,520243;0,066952;0,036680;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
16;-0,213653;0,807680;0,115204;3,500097;4916,000000;-1924578321,367537;0,412602;0,040000;0,300000;0,091189;0,024014;0,902527;0,551370;0,065607;0,019194;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
17;-0,212880;0,801170;0,121786;3,508250;4916,000000;-1960434370,917624;0,397918;0,040000;0,300000;0,089920;0,031866;0,898955;0,597293;0,069131;0,031895;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
18;-0,211190;0,791210;0,127228;3,545863;4916,000000;-2086078714,454352;0,403095;0,040000;0,300000;0,081746;0,045482;0,942446;0,612030;0,068627;0,021898;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
19;-0,213675;0,801300;0,126049;3,510098;4916,000000;-1962178822,959392;0,398200;0,040000;0,300000;0,091528;0,034521;0,909420;0,593851;0,079842;0,029630;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
20;-0,209492;0,794970;0,111249;3,532233;4916,000000;-2043194969,488731;0,412975;0,040000;0,300000;0,078292;0,032957;0,886121;0,542571;0,062385;0,016729;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
