Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,223387;0,849090;0,140196;3,566781;5666,000000;11286321055,171171;0,372821;0,040000;0,300000;0,128431;0,011765;0,930147;0,618090;0,130663;0,039813;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,218637;0,844250;0,128146;3,592129;5666,000000;11212197270,765106;0,371836;0,040000;0,300000;0,110663;0,017483;0,915789;0,603912;0,089002;0,042986;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,218746;0,837980;0,130386;3,628290;5666,000000;11123902347,236380;0,389279;0,040000;0,300000;0,113299;0,017088;0,925000;0,618844;0,085052;0,047930;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,218896;0,850690;0,125850;3,571519;5666,000000;11289944340,204208;0,363556;0,040000;0,300000;0,106643;0,019208;0,896057;0,585492;0,098712;0,033259;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,212993;0,833990;0,113377;3,654597;5666,000000;11084480742,102380;0,404392;0,040000;0,300000;0,090408;0,022969;0,881295;0,561028;0,061097;0,025918;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,217757;0,846090;0,121729;3,586601;5666,000000;11232075587,663850;0,352329;0,040000;0,300000;0,107385;0,014344;0,933333;0,565632;0,079538;0,045175;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,217361;0,840240;0,125141;3,610403;5666,000000;11179635725,945093;0,390789;0,040000;0,300000;0,105975;0,019166;0,893238;0,582960;0,084112;0,043860;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,218125;0,837510;0,127433;3,615033;5666,000000;11149351086,967102;0,374591;0,040000;0,300000;0,114029;0,013404;0,892361;0,611814;0,079027;0,036403;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,214575;0,838630;0,115528;3,618212;5666,000000;11167975255,128284;0,365489;0,040000;0,300000;0,096865;0,018664;0,914894;0,539785;0,061211;0,031513;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,221269;0,841840;0,136133;3,603884;5666,000000;11188248455,739895;0,378116;0,040000;0,300000;0,123894;0,012239;0,919014;0,644647;0,097812;0,057325;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,218998;0,852730;0,120665;3,555841;5666,000000;11328947560,849050;0,369406;0,040000;0,300000;0,105050;0,015615;0,875887;0,580925;0,088590;0,051765;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,217209;0,838290;0,128672;3,621727;5666,000000;11151404112,602482;0,368338;0,040000;0,300000;0,107289;0,021383;0,925532;0,612033;0,080103;0,025370;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
13;-0,220402;0,849260;0,127294;3,568254;5666,000000;11286525382,084590;0,388597;0,040000;0,300000;0,115058;0,012236;0,911972;0,550251;0,107296;0,037862;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
14;-0,216273;0,836150;0,122736;3,633122;5666,000000;11117933730,321335;0,379867;0,040000;0,300000;0,104436;0,018299;0,928826;0,613995;0,070669;0,038217;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
15;-0,218103;0,831930;0,133454;3,659198;5666,000000;11052023935,423700;0,406680;0,040000;0,300000;0,111091;0,022362;0,908759;0,673228;0,077688;0,050314;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
16;-0,217656;0,839220;0,126030;3,619322;5666,000000;11144461557,660280;0,389816;0,040000;0,300000;0,108052;0,017978;0,921708;0,610245;0,080572;0,033195;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
17;-0,220772;0,855930;0,125978;3,538200;5666,000000;11381359312,186350;0,359702;0,040000;0,300000;0,113215;0,012762;0,894545;0,535411;0,110181;0,046455;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
18;-0,219778;0,845580;0,128927;3,597699;5666,000000;11182516607,894295;0,369643;0,040000;0,300000;0,116400;0,012526;0,953405;0,581509;0,091429;0,045045;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
19;-0,220984;0,850490;0,131239;3,567530;5666,000000;11296394342,564090;0,352857;0,040000;0,300000;0,117916;0,013323;0,918519;0,583960;0,109655;0,044743;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
20;-0,220942;0,856460;0,126246;3,547096;5666,000000;11352000445,568665;0,369926;0,040000;0,300000;0,112957;0,013289;0,902878;0,578652;0,098300;0,042959;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
21;-0,218685;0,850300;0,122866;3,556913;5666,000000;11301599437,540117;0,358433;0,040000;0,300000;0,107582;0,015284;0,920290;0,514986;0,107764;0,033784;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
22;-0,217242;0,837200;0,128001;3,625343;5666,000000;11136965666,842344;0,361555;0,040000;0,300000;0,108053;0,019948;0,905797;0,617530;0,069899;0,046809;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
23;-0,215697;0,831510;0,127855;3,652471;5666,000000;11076284972,152853;0,386333;0,040000;0,300000;0,102859;0,024996;0,918519;0,627057;0,059720;0,052419;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
24;-0,216562;0,846750;0,119136;3,584529;5666,000000;11245897758,283655;0,348990;0,040000;0,300000;0,101616;0,017520;0,932143;0,542579;0,080559;0,015453;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
25;-0,219639;0,852720;0,123736;3,561176;5666,000000;11304485657,031656;0,364976;0,040000;0,300000;0,109988;0,013748;0,908759;0,555556;0,096386;0,028302;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
26;-0,218285;0,846080;0,123713;3,588701;5666,000000;11244589977,032148;0,370461;0,040000;0,300000;0,108371;0,015343;0,899281;0,618529;0,090486;0,051724;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
27;-0,215815;0,830750;0,125901;3,658713;5666,000000;11072124555,508806;0,408839;0,040000;0,300000;0,101945;0,023955;0,879121;0,620438;0,060945;0,044304;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
28;-0,220484;0,851460;0,128133;3,549609;5666,000000;11326089421,166512;0,370761;0,040000;0,300000;0,115500;0,012633;0,917857;0,556497;0,111860;0,042601;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
29;-0,222277;0,847720;0,139906;3,579451;5666,000000;11232851461,282658;0,361190;0,040000;0,300000;0,125292;0,014614;0,917266;0,630872;0,112686;0,030905;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
30;-0,218215;0,848770;0,123589;3,576044;5666,000000;11256105370,745090;0,375470;0,040000;0,300000;0,103585;0,020004;0,902878;0,568063;0,094467;0,036281;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
