Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,201557;0,647710;0,174544;3,723978;4666,000000;-7160761427,962719;0,133860;0,040000;0,300000;0,073082;0,101462;0,785211;0,481203;0,170654;0,028765;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,200157;0,642430;0,174244;3,731972;4666,000000;-7176165744,614126;0,129064;0,040000;0,300000;0,067456;0,106788;0,727599;0,494513;0,172064;0,020134;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,198400;0,615270;0,186945;3,768270;4666,000000;-7254373848,917433;0,071607;0,040000;0,310666;0,056393;0,130552;0,757143;0,463563;0,207447;0,023372;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,199067;0,693100;0,131015;3,654599;4666,000000;-7011452724,221893;0,241227;0,040000;0,300000;0,067751;0,063264;0,766323;0,389641;0,113941;0,037415;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,200095;0,674110;0,148829;3,691935;4666,000000;-7089502525,204000;0,206062;0,040000;0,300000;0,070069;0,078759;0,731959;0,429312;0,140247;0,025685;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,200860;0,687150;0,142777;3,669594;4666,000000;-7041041202,070492;0,233568;0,040000;0,300000;0,072848;0,069929;0,796491;0,415957;0,129359;0,037162;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,202151;0,652040;0,174331;3,719262;4666,000000;-7150667746,615832;0,133765;0,040000;0,300000;0,077350;0,096981;0,761092;0,492340;0,166912;0,040472;0,000456;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,200956;0,676500;0,152808;3,679708;4666,000000;-7063117055,991352;0,183093;0,040000;0,300000;0,074265;0,078543;0,712803;0,456410;0,138932;0,038917;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,200225;0,676250;0,149303;3,687018;4666,000000;-7067979166,498611;0,223365;0,040000;0,300000;0,068569;0,080734;0,713262;0,447940;0,135975;0,047138;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,202491;0,634790;0,191485;3,735266;4666,000000;-7182586422,896755;0,091445;0,040000;0,300000;0,074769;0,116716;0,738676;0,527261;0,191300;0,042017;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,202287;0,605150;0,208113;3,787992;4666,000000;-7273416676,875326;0,021672;0,040000;0,317856;0,071851;0,136262;0,727586;0,549020;0,221187;0,030151;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,198851;0,665190;0,151615;3,705876;4666,000000;-7110600927,438882;0,229285;0,040000;0,300000;0,061303;0,090312;0,774648;0,436858;0,142857;0,018550;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
