Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;46845;29473;17865;5817;115853,27;92095,35;34755,98;231706,53;0.00;0.00;0,380577;0,082323;0,562284;0,164699;0;0;0,00;502,22;4482,56;0,058170;0,00;0,058170;0,058170
2;45878;30108;18256;5758;114216,58;90847,87;34264,97;228433,17;0.00;0.00;0,381945;0,094959;0,558980;0,170620;0;0;0,00;467,10;4482,02;0,057580;0,00;0,057580;0,057580
3;45883;30135;18247;5735;114912,77;91304,54;34473,83;229825,54;0.00;0.00;0,381576;0,117362;0,558870;0,169993;0;0;0,00;466,53;4490,63;0,057350;0,00;0,057350;0,057350
4;46485;29625;18175;5715;115818,89;92182,84;34745,67;231637,79;0.00;0.00;0,381206;0,179992;0,562357;0,166570;0;0;0,00;484,61;4494,22;0,057150;0,00;0,057150;0,057150
5;45764;29745;18463;6028;113456,20;90029,03;34036,86;226912,41;0.00;0.00;0,383990;0,100949;0,556981;0,172644;0;0;0,00;463,11;4462,78;0,060280;0,00;0,060280;0,060280
6;44021;31134;18881;5964;112375,42;89493,12;33712,63;224750,84;0.00;0.00;0,384368;0,034287;0,553039;0,179919;0;0;0,00;418,15;4427,01;0,059640;0,00;0,059640;0,059640
7;47640;29060;17723;5577;117057,41;93442,38;35117,22;234114,81;0.00;0.00;0,378469;0,179160;0,566600;0,160872;0;0;0,00;536,29;4518,40;0,055770;0,00;0,055770;0,055770
8;48026;29024;17394;5556;116770,92;93047,85;35031,28;233541,84;0.00;0.00;0,378044;0,122619;0,563720;0,162127;0;0;0,00;554,25;4513,74;0,055560;0,00;0,055560;0,055560
9;42593;32158;18964;6285;110734,67;86948,79;33220,40;221469,35;0.00;0.00;0,387111;0,156681;0,548397;0,184970;0;0;0,00;376,01;4377,36;0,062850;0,00;0,062850;0,062850
10;46333;29828;18049;5790;114970,75;91195,31;34491,22;229941,50;0.00;0.00;0,381364;0,078380;0,557496;0,170557;0;0;0,00;484,07;4477,74;0,057900;0,00;0,057900;0,057900
11;44726;30507;18824;5943;113440,79;89234,05;34032,24;226881,58;0.00;0.00;0,384696;0,162318;0,554509;0,177506;0;0;0,00;429,89;4433,60;0,059430;0,00;0,059430;0,059430
12;44464;30826;18563;6147;112508,75;89323,33;33752,62;225017,49;0.00;0.00;0,385137;0,101594;0,554247;0,178440;0;0;0,00;422,57;4434,92;0,061470;0,00;0,061470;0,061470
