Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95;Public_Auto_mean;Public_Auto_std;Public_Auto_p05;Public_Auto_p95;Agri_Auto_mean;Agri_Auto_std;Agri_Auto_p05;Agri_Auto_p95;EffectiveBDP_mean;EffectiveBDP_std;EffectiveBDP_p05;EffectiveBDP_p95;BPO_Sigma_mean;BPO_Sigma_std;BPO_Sigma_p05;BPO_Sigma_p95;Manuf_Sigma_mean;Manuf_Sigma_std;Manuf_Sigma_p05;Manuf_Sigma_p95;Retail_Sigma_mean;Retail_Sigma_std;Retail_Sigma_p05;Retail_Sigma_p95;Health_Sigma_mean;Health_Sigma_std;Health_Sigma_p05;Health_Sigma_p95;Public_Sigma_mean;Public_Sigma_std;Public_Sigma_p05;Public_Sigma_p95;Agri_Sigma_mean;Agri_Sigma_std;Agri_Sigma_p05;Agri_Sigma_p95;MeanDegree_mean;MeanDegree_std;MeanDegree_p05;MeanDegree_p95;IoFlows_mean;IoFlows_std;IoFlows_p05;IoFlows_p95;IoGdpRatio_mean;IoGdpRatio_std;IoGdpRatio_p05;IoGdpRatio_p95
1;0,013492;0,000038;0,013429;0,013561;0,002080;0,000000;0,002080;0,002080;0,000353;0,000167;0,000000;0,000700;4,330231;0,000069;4,330120;4,330355;8268,073113;0,000000;8268,073113;8268,073113;-73481340,329468;128557,561176;-73691963,017073;-73333859,223291;0,040547;0,100711;0,000000;0,245925;0,052263;0,000004;0,052257;0,052270;0,999859;0,000011;0,999841;0,999878;0,000143;0,000105;0,000000;0,000300;0,000210;0,000119;0,000000;0,000400;0,000667;0,001333;0,000000;0,003333;0,000250;0,000382;0,000000;0,001250;0,000644;0,000351;0,000000;0,001333;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2;0,008333;0,000081;0,008215;0,008481;0,002070;0,000000;0,002070;0,002070;0,000750;0,000285;0,000400;0,001300;4,330538;0,000117;4,330422;4,330739;8269,921523;0,103209;8269,739956;8270,136824;-146612714,937545;261679,498503;-147055296,029256;-146319182,161117;0,048863;0,092689;0,000000;0,233629;0,048601;0,000006;0,048595;0,048610;0,999550;0,000025;0,999512;0,999596;0,000273;0,000169;0,000000;0,000600;0,000477;0,000176;0,000200;0,000800;0,001111;0,001792;0,000000;0,003333;0,000625;0,000604;0,000000;0,001876;0,001363;0,000540;0,000445;0,002444;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,004291;0,000131;0,004111;0,004574;0,002070;0,000000;0,002070;0,002070;0,001180;0,000405;0,000500;0,001800;4,330906;0,000160;4,330690;4,331186;8271,527543;0,241847;8271,159042;8271,952946;-219492413,512587;406163,251243;-220173810,728549;-219045307,533815;0,042408;0,080228;0,000000;0,130147;0,046041;0,000007;0,046031;0,046053;0,999122;0,000046;0,999060;0,999218;0,000397;0,000223;0,000100;0,000700;0,000783;0,000311;0,000300;0,001300;0,002333;0,003238;0,000000;0,010000;0,001104;0,000864;0,000000;0,003125;0,002059;0,000741;0,000667;0,003111;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,001178;0,000183;0,000945;0,001604;0,002060;0,000002;0,002060;0,002060;0,001570;0,000553;0,000700;0,002400;4,331293;0,000205;4,330988;4,331682;8272,905252;0,404755;8272,300462;8273,392267;-292238711,042331;557142,071036;-293175484,178431;-291575031,383450;0,040784;0,073177;0,000000;0,108712;0,044250;0,000008;0,044238;0,044264;0,998615;0,000070;0,998524;0,998772;0,000457;0,000255;0,000100;0,000900;0,001113;0,000410;0,000500;0,001800;0,003667;0,003977;0,000000;0,010000;0,001750;0,000974;0,000625;0,003752;0,002608;0,001000;0,000889;0,004000;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;-0,001214;0,000237;-0,001490;-0,000662;0,002060;0,000002;0,002060;0,002060;0,002067;0,000679;0,000900;0,002900;4,331740;0,000246;4,331351;4,332132;8274,072405;0,642759;8272,915921;8274,941058;-364914033,962489;712287,835855;-366094011,625801;-364026498,112181;0,037115;0,067255;0,000000;0,096707;0,043000;0,000008;0,042987;0,043014;0,998050;0,000100;0,997925;0,998278;0,000530;0,000298;0,000100;0,001000;0,001537;0,000515;0,000700;0,002400;0,005112;0,003825;0,000000;0,010033;0,002459;0,001196;0,000625;0,005000;0,003363;0,001253;0,001556;0,005335;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;-0,003068;0,000306;-0,003511;-0,002356;0,002056;0,000005;0,002050;0,002060;0,002610;0,000910;0,000900;0,003700;4,332246;0,000320;4,331709;4,332827;8274,993496;0,938925;8273,104544;8276,370970;-437566010,450092;871521,914223;-439013040,380553;-436433344,970827;0,038597;0,065638;0,000000;0,148786;0,042128;0,000010;0,042110;0,042147;0,997435;0,000137;0,997259;0,997753;0,000653;0,000373;0,000100;0,001300;0,001957;0,000656;0,000700;0,002901;0,007780;0,005730;0,000000;0,016667;0,003146;0,001527;0,000625;0,005625;0,004149;0,001548;0,001556;0,006224;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;-0,004521;0,000384;-0,005089;-0,003644;0,002067;0,000080;0,002050;0,002060;0,003237;0,001043;0,001400;0,004400;4,332797;0,000367;4,332275;4,333508;8275,608207;1,354548;8273,313062;8277,870648;-510232918,754499;1038923,758422;-511966603,212487;-508835288,023711;0,031782;0,045539;0,000000;0,118852;0,041520;0,000010;0,041504;0,041538;0,996777;0,000182;0,996512;0,997200;0,000803;0,000416;0,000200;0,001500;0,002434;0,000748;0,001000;0,003300;0,010783;0,005815;0,003333;0,016667;0,004126;0,001619;0,001250;0,006254;0,004994;0,001802;0,001778;0,007778;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;-0,005676;0,000475;-0,006467;-0,004611;0,002135;0,000204;0,002040;0,002450;0,003937;0,001242;0,001801;0,005700;4,333395;0,000432;4,332770;4,334058;8275,886676;1,839764;8273,203855;8278,993127;-582941148,982071;1201944,973659;-584945024,047826;-581271093,866937;0,028261;0,032111;0,000000;0,091247;0,041097;0,000011;0,041081;0,041119;0,996082;0,000237;0,995712;0,996629;0,000960;0,000532;0,000300;0,002100;0,002977;0,000890;0,001400;0,004200;0,014676;0,007773;0,003333;0,023333;0,005126;0,001836;0,001250;0,008130;0,005927;0,002130;0,002001;0,009335;0,000167;0,000500;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;-0,006616;0,000577;-0,007595;-0,005324;0,002350;0,000394;0,002040;0,003250;0,004734;0,001429;0,002301;0,006601;4,334041;0,000478;4,333296;4,334758;8275,790474;2,441066;8272,657823;8279,847519;-655708221,933443;1367644,886816;-657987323,780969;-653732394,950043;0,024140;0,023167;0,000000;0,079168;0,040804;0,000011;0,040786;0,040821;0,995351;0,000303;0,994870;0,996049;0,001127;0,000602;0,000300;0,002101;0,003607;0,001019;0,001901;0,005201;0,017796;0,007664;0,003333;0,026667;0,006356;0,002062;0,002500;0,010632;0,007046;0,002496;0,002889;0,010447;0,000222;0,000567;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;-0,007392;0,000672;-0,008504;-0,005928;0,002688;0,000530;0,002040;0,003830;0,005541;0,001523;0,002901;0,007502;4,334692;0,000518;4,333838;4,335487;8275,285529;3,157341;8270,989817;8280,582781;-728544851,691868;1534300,919057;-731053308,508762;-726248295,966902;0,021998;0,017473;0,002051;0,062144;0,040599;0,000011;0,040580;0,040619;0,994587;0,000375;0,993989;0,995440;0,001260;0,000625;0,000500;0,002200;0,004281;0,001086;0,002401;0,006201;0,020914;0,008017;0,003344;0,036667;0,007732;0,002052;0,005000;0,011882;0,008136;0,002714;0,003333;0,012003;0,000278;0,000621;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
