Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;60286;16203;10205;13306;146161,74;112842,46;43848,52;292323,48;0.00;0.00;0,473268;0,119291;0,626190;0,075730;0;0;0,00;1072,38;3964,48;0,133060;0,00;0,397140;0,397140
2;57155;16971;11123;14751;140865,22;107375,93;42259,57;281730,45;0.00;0.00;0,496229;0,131337;0,618842;0,088624;0;0;0,00;854,71;3916,20;0,147510;0,00;0,428450;0,428450
3;58588;16609;10831;13972;143450,52;109773,41;43035,16;286901,04;0.00;0.00;0,486089;0,148838;0,622835;0,081576;0;0;0,00;952,62;3954,21;0,139720;0,00;0,414120;0,414120
4;60028;16709;10349;12914;146394,48;112913,51;43918,35;292788,97;0.00;0.00;0,475006;0,234852;0,628100;0,075292;0;0;0,00;1039,91;3960,05;0,129140;0,00;0,399720;0,399720
5;57486;17061;11192;14261;141899,91;108682,76;42569,97;283799,82;0.00;0.00;0,493679;0,136542;0,619920;0,085661;0;0;0,00;880,46;3927,78;0,142610;0,00;0,425140;0,425140
6;57474;16944;11362;14220;142803,56;109219,87;42841,07;285607,12;0.00;0.00;0,493148;0,045607;0,620810;0,085376;0;0;0,00;874,61;3926,01;0,142200;0,00;0,425260;0,425260
7;57968;16223;11069;14740;140849,27;107563,44;42254,78;281698,54;0.00;0.00;0,491662;0,221211;0,620730;0,087558;0;0;0,00;908,31;3930,61;0,147400;0,00;0,420320;0,420320
8;57563;16807;11151;14479;141292,50;108526,65;42387,75;282585,01;0.00;0.00;0,493253;0,154917;0,619471;0,086564;0;0;0,00;886,86;3910,15;0,144790;0,00;0,424370;0,424370
9;57162;17017;11256;14565;140916,90;108175,27;42275,07;281833,80;0.00;0.00;0,495936;0,205384;0,618573;0,088005;0;0;0,00;857,29;3909,50;0,145650;0,00;0,428380;0,428380
10;59732;16307;10483;13478;145539,41;112376,05;43661,82;291078,83;0.00;0.00;0,477971;0,110137;0,625172;0,077681;0;0;0,00;1022,95;3961,62;0,134780;0,00;0,402680;0,402680
