Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,211786;0,789200;0,125416;3,546550;4916,000000;-2133959445,176388;0,399910;0,040000;0,300000;0,088849;0,036567;0,928571;0,614493;0,065091;0,023636;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,213273;0,805300;0,122371;3,492211;4916,000000;-1976395946,146681;0,384813;0,040000;0,300000;0,090982;0,031389;0,903226;0,565436;0,078049;0,036329;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,212372;0,796710;0,124494;3,522879;4916,000000;-2072263061,303339;0,423669;0,040000;0,300000;0,086212;0,038282;0,925795;0,580286;0,076149;0,025688;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,210535;0,784060;0,130627;3,564280;4916,000000;-2172758532,424022;0,428892;0,040000;0,300000;0,076946;0,053680;0,901060;0,613833;0,079963;0,010714;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,213676;0,804330;0,121812;3,504259;4916,000000;-2019934368,521244;0,384777;0,040000;0,300000;0,095042;0,026770;0,888112;0,559486;0,074328;0,027829;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,212308;0,803290;0,118695;3,510767;4916,000000;-2032118759,394079;0,404130;0,040000;0,300000;0,087192;0,031504;0,923077;0,578151;0,059642;0,033582;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,212220;0,804880;0,112781;3,489012;4916,000000;-1977332228,005502;0,383865;0,040000;0,300000;0,089370;0,023410;0,874126;0,535714;0,073557;0,036832;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,213819;0,802270;0,124803;3,497639;4916,000000;-1994752607,528192;0,399925;0,040000;0,300000;0,093365;0,031438;0,899281;0,597039;0,074555;0,041667;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,213725;0,805260;0,121434;3,496874;4916,000000;-1983831071,256868;0,393221;0,040000;0,300000;0,093865;0,027570;0,928571;0,568852;0,068898;0,028902;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,211542;0,790250;0,123911;3,541245;4916,000000;-2112608495,692805;0,416336;0,040000;0,300000;0,085409;0,038503;0,924188;0,607595;0,070583;0,028725;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,210226;0,795630;0,115086;3,526827;4916,000000;-2073000727,941557;0,401447;0,040000;0,300000;0,080560;0,034526;0,906574;0,562500;0,067006;0,016364;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
