Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;56465;15794;9875;17866;101847,23;80003,84;30554,17;203694,46;0.00;0.00;0,505451;0,085260;0,629599;0,074664;1700;375;0,00;821,78;3894,16;0,178660;0,00;0,435350;0,435350
2;58204;15228;9617;16951;102922,69;81049,07;30876,81;205845,38;0.00;0.00;0,493268;0,097454;0,632228;0,071543;1621;386;0,00;927,56;3943,66;0,169510;0,00;0,417960;0,417960
3;58436;15726;9463;16375;105489,13;83348,32;31646,74;210978,26;0.00;0.00;0,490399;0,118563;0,634928;0,066282;1616;395;0,00;955,02;3948,87;0,163750;0,00;0,415640;0,415640
4;57174;15430;9796;17600;101963,75;80117,77;30589,12;203927,50;0.00;0.00;0,501082;0,197978;0,633213;0,072862;1737;359;0,00;865,01;3914,61;0,176000;0,00;0,428260;0,428260
5;58632;15254;9537;16577;104199,08;81908,53;31259,72;208398,16;0.00;0.00;0,489934;0,103491;0,633958;0,068070;1648;352;0,00;965,55;3940,24;0,165770;0,00;0,413680;0,413680
6;55072;15897;10234;18797;99376,42;77274,65;29812,92;198752,83;0.00;0.00;0,516134;0,034018;0,627573;0,081049;1748;358;0,00;701,18;3882,81;0,187970;0,00;0,449280;0,449280
7;60364;15047;8958;15631;106567,36;84766,41;31970,21;213134,71;0.00;0.00;0,476701;0,182043;0,637482;0,063928;1472;371;0,00;1074,04;3958,17;0,156310;0,00;0,396360;0,396360
8;58166;15189;9670;16975;103802,14;82222,76;31140,64;207604,28;0.00;0.00;0,493601;0,123476;0,633122;0,070102;1713;382;0,00;924,78;3921,71;0,169750;0,00;0,418340;0,418340
9;56399;15811;10106;17684;101585,63;79727,15;30475,69;203171,26;0.00;0.00;0,506105;0,165844;0,630129;0,075446;1784;393;0,00;798,88;3901,12;0,176840;0,00;0,436010;0,436010
10;59041;15145;9191;16623;105181,08;83245,69;31554,32;210362,16;0.00;0.00;0,487051;0,080588;0,635211;0,065345;1616;329;0,00;987,30;3940,91;0,166230;0,00;0,409590;0,409590
11;57695;15031;9657;17617;102419,11;80013,62;30725,73;204838,23;0.00;0.00;0,497778;0,165745;0,631437;0,073919;1697;387;0,00;894,41;3905,38;0,176170;0,00;0,423050;0,423050
12;56466;15678;10087;17769;101346,94;79515,07;30404,08;202693,88;0.00;0.00;0,505652;0,113460;0,631396;0,074829;1681;367;0,00;808,99;3895,33;0,177690;0,00;0,435340;0,435340
13;57490;15501;9759;17250;102892,27;81221,63;30867,68;205784,55;0.00;0.00;0,498274;0,079038;0,631919;0,071745;1736;375;0,00;880,02;3923,58;0,172500;0,00;0,425100;0,425100
14;56828;15533;9827;17812;101890,78;79889,43;30567,24;203781,57;0.00;0.00;0,503170;0,119759;0,631910;0,073390;1726;402;0,00;837,74;3911,16;0,178120;0,00;0,431720;0,431720
15;59198;15350;9188;16264;106000,57;84229,27;31800,17;212001,15;0.00;0.00;0,485345;0,135374;0,636733;0,063783;1643;346;0,00;994,79;3936,64;0,162640;0,00;0,408020;0,408020
16;59811;15187;9248;15754;105954,20;83986,65;31786,26;211908,39;0.00;0.00;0,481432;0,202358;0,634476;0,066132;1614;359;0,00;1029,08;3958,43;0,157540;0,00;0,401890;0,401890
17;56948;15512;9895;17645;101639,74;79786,43;30491,92;203279,48;0.00;0.00;0,501945;0,184046;0,631645;0,075155;1625;351;0,00;848,11;3908,66;0,176450;0,00;0,430520;0,430520
18;56398;15931;10136;17535;101183,57;79128,07;30355,07;202367,14;0.00;0.00;0,505683;0,134519;0,629385;0,075440;1724;411;0,00;805,68;3910,33;0,175350;0,00;0,436020;0,436020
19;56840;15491;9803;17866;101503,36;79620,56;30451,01;203006,72;0.00;0.00;0,503492;0,160585;0,632645;0,074126;1726;381;0,00;839,85;3916,30;0,178660;0,00;0,431600;0,431600
20;56863;15330;10180;17627;101775,21;79934,14;30532,56;203550,43;0.00;0.00;0,503088;0,097409;0,631289;0,073912;1730;369;0,00;838,40;3910,59;0,176270;0,00;0,431370;0,431370
21;56138;15234;9692;18936;99131,67;77161,67;29739,50;198263,35;0.00;0.00;0,509517;0,101581;0,627948;0,078387;1622;373;0,00;784,71;3889,50;0,189360;0,00;0,438620;0,438620
22;58074;15173;9512;17241;103077,38;81511,75;30923,21;206154,77;0.00;0.00;0,494304;0,175887;0,634736;0,068472;1653;385;0,00;924,71;3924,23;0,172410;0,00;0,419260;0,419260
23;59137;15663;9425;15775;106554,54;84903,49;31966,36;213109,09;0.00;0.00;0,485175;0,152114;0,636703;0,065254;1606;378;0,00;987,58;3953,86;0,157750;0,00;0,408630;0,408630
24;57651;15254;9547;17548;101389,35;79114,45;30416,80;202778,69;0.00;0.00;0,498030;0,128930;0,630912;0,073243;1657;382;0,00;899,54;3923,48;0,175480;0,00;0,423490;0,423490
25;56010;15783;10114;18093;100823,82;78851,45;30247,15;201647,63;0.00;0.00;0,509495;0,120131;0,629285;0,078335;1743;414;0,00;772,60;3901,23;0,180930;0,00;0,439900;0,439900
26;59424;14997;9241;16338;104447,08;82333,07;31334,12;208894,17;0.00;0.00;0,484057;0,165088;0,635061;0,067651;1560;376;0,00;1009,26;3948,14;0,163380;0,00;0,405760;0,405760
27;59338;15408;9236;16018;106542,00;83902,68;31962,60;213083,99;0.00;0.00;0,484328;0,130113;0,635584;0,064377;1647;358;0,00;1008,10;3945,36;0,160180;0,00;0,406620;0,406620
28;56348;15341;10111;18200;100198,96;78366,25;30059,69;200397,93;0.00;0.00;0,507552;0,116196;0,627725;0,078724;1751;374;0,00;796,86;3911,74;0,182000;0,00;0,436520;0,436520
29;57688;15092;9683;17537;102286,23;80070,64;30685,87;204572,46;0.00;0.00;0,497825;0,157542;0,632151;0,072033;1698;352;0,00;893,99;3919,45;0,175370;0,00;0,423120;0,423120
30;56503;15639;9911;17947;100848,36;79396,30;30254,51;201696,72;0.00;0.00;0,505943;0,186512;0,630035;0,076206;1697;389;0,00;810,53;3910,38;0,179470;0,00;0,434970;0,434970
