Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;56417;16917;9189;17477;102430,27;80350,46;30729,08;204860,54;0.00;0.00;0,504493;0,085207;0,629156;0,074450;3141;699;0,00;821,74;3894,56;0,174770;0,00;0,435830;0,435830
2;57804;16330;8872;16994;102951,95;81131,28;30885,59;205903,91;0.00;0.00;0,495366;0,097406;0,631286;0,072555;2922;654;0,00;902,76;3935,86;0,169940;0,00;0,421960;0,421960
3;58785;16469;8371;16375;105674,84;83616,95;31702,45;211349,67;0.00;0.00;0,487448;0,118537;0,635558;0,064748;2804;666;0,00;977,82;3949,26;0,163750;0,00;0,412150;0,412150
4;58377;15832;8705;17086;102987,56;81176,35;30896,27;205975,12;0.00;0.00;0,491764;0,197305;0,633921;0,070795;2947;642;0,00;947,31;3930,29;0,170860;0,00;0,416230;0,416230
5;57288;17120;8847;16745;103785,45;81569,41;31135,64;207570,91;0.00;0.00;0,498252;0,103487;0,631863;0,071582;2955;667;0,00;874,78;3917,22;0,167450;0,00;0,427120;0,427120
6;55352;16807;9464;18377;99903,03;78187,31;29970,91;199806,06;0.00;0.00;0,513094;0,033959;0,626483;0,081631;3164;692;0,00;725,06;3892,46;0,183770;0,00;0,446480;0,446480
7;61212;15584;8091;15113;107411,60;85214,05;32223,48;214823,20;0.00;0.00;0,470051;0,181448;0,638074;0,062548;2788;606;0,00;1122,80;3976,22;0,151130;0,00;0,387880;0,387880
8;59527;15995;8368;16110;105613,10;83985,56;31683,93;211226,19;0.00;0.00;0,482927;0,123104;0,634976;0,066592;2868;608;0,00;1016,65;3949,96;0,161100;0,00;0,404730;0,404730
9;57658;16641;8848;16853;103252,89;81246,15;30975,87;206505,77;0.00;0.00;0,496135;0,165717;0,632060;0,072220;3009;735;0,00;887,70;3919,47;0,168530;0,00;0,423420;0,423420
10;58364;16391;8668;16577;104991,09;83046,88;31497,33;209982,19;0.00;0.00;0,490930;0,080617;0,633008;0,067949;2896;659;0,00;946,69;3932,08;0,165770;0,00;0,416360;0,416360
11;56337;16604;8924;18135;100966,96;78381,56;30290,09;201933,92;0.00;0.00;0,507067;0,165885;0,628009;0,078546;2943;679;0,00;793,17;3888,36;0,181350;0,00;0,436630;0,436630
12;55559;17018;9288;18135;100965,82;79047,91;30289,75;201931,64;0.00;0.00;0,511479;0,113777;0,629785;0,077564;3073;782;0,00;734,05;3883,86;0,181350;0,00;0,444410;0,444410
13;56300;16933;9224;17543;102293,56;80362,38;30688,07;204587,13;0.00;0.00;0,505681;0,079049;0,629500;0,075101;3150;694;0,00;792,69;3898,59;0,175430;0,00;0,437000;0,437000
14;59296;15646;8334;16724;104004,93;81972,02;31201,48;208009,86;0.00;0.00;0,484959;0,119291;0,634478;0,068585;2966;628;0,00;1002,16;3947,95;0,167240;0,00;0,407040;0,407040
15;59142;16699;8172;15987;106271,04;84254,81;31881,31;212542,09;0.00;0.00;0,484646;0,135149;0,636119;0,064058;2779;653;0,00;992,24;3938,45;0,159870;0,00;0,408580;0,408580
16;61801;15639;7811;14749;108023,49;86046,52;32407,05;216046,98;0.00;0.00;0,465912;0,201225;0,637542;0,060745;2589;645;0,00;1150,37;3994,10;0,147490;0,00;0,381990;0,381990
17;58471;16155;8577;16797;103180,12;81463,25;30954,04;206360,24;0.00;0.00;0,490382;0,183344;0,632407;0,072756;2798;671;0,00;953,69;3930,95;0,167970;0,00;0,415290;0,415290
18;56340;17058;9352;17250;102070,05;80503,96;30621,01;204140,09;0.00;0.00;0,504952;0,134460;0,629634;0,074068;3108;729;0,00;804,44;3910,80;0,172500;0,00;0,436600;0,436600
19;56371;16609;9159;17861;101751,04;79769,85;30525,31;203502,09;0.00;0.00;0,505687;0,160916;0,631549;0,074916;3089;697;0,00;813,40;3899,12;0,178610;0,00;0,436290;0,436290
20;55895;17058;9443;17604;101687,16;79681,29;30506,15;203374,31;0.00;0.00;0,508523;0,097280;0,629872;0,076665;3177;742;0,00;773,34;3893,15;0,176040;0,00;0,441050;0,441050
21;56533;16151;8944;18372;100277,40;78233,62;30083,22;200554,80;0.00;0.00;0,505541;0,101629;0,628372;0,077049;2990;679;0,00;815,26;3890,41;0,183720;0,00;0,434670;0,434670
22;58073;16047;8703;17177;103073,03;81533,85;30921,91;206146,07;0.00;0.00;0,493569;0,175794;0,633301;0,070286;2943;594;0,00;930,26;3919,27;0,171770;0,00;0,419270;0,419270
23;58035;17095;8573;16297;105612,90;83883,19;31683,87;211225,80;0.00;0.00;0,492634;0,152468;0,634878;0,067019;2978;728;0,00;918,73;3934,71;0,162970;0,00;0,419650;0,419650
24;55833;16725;9209;18233;100070,63;77976,90;30021,19;200141,25;0.00;0.00;0,510601;0,129228;0,626710;0,079812;3024;683;0,00;760,39;3891,79;0,182330;0,00;0,441670;0,441670
25;57535;16374;9050;17041;102637,52;80547,86;30791,26;205275,04;0.00;0.00;0,497478;0,119797;0,630947;0,074265;3034;686;0,00;881,38;3934,28;0,170410;0,00;0,424650;0,424650
26;58133;16365;8753;16749;103591,62;81618,36;31077,48;207183,23;0.00;0.00;0,492961;0,165083;0,631827;0,072022;3023;656;0,00;924,40;3927,00;0,167490;0,00;0,418670;0,418670
27;61348;15595;7936;15121;108203,36;85779,33;32461,01;216406,73;0.00;0.00;0,469352;0,129565;0,637942;0,059939;2714;568;0,00;1128,25;3973,72;0,151210;0,00;0,386520;0,386520
28;57175;16173;8877;17775;101220,50;79368,47;30366,15;202441,00;0.00;0.00;0,500980;0,116144;0,629087;0,075892;3020;680;0,00;862,43;3924,70;0,177750;0,00;0,428250;0,428250
29;57297;16245;8968;17490;102406,28;80321,12;30721,89;204812,57;0.00;0.00;0,499587;0,157379;0,630951;0,072761;3058;644;0,00;874,23;3911,23;0,174900;0,00;0,427030;0,427030
30;58043;16217;8738;17002;102698,29;80978,50;30809,49;205396,59;0.00;0.00;0,493730;0,185756;0,632666;0,071859;2977;688;0,00;916,65;3930,88;0,170020;0,00;0,419570;0,419570
