Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,214575;0,806360;0,123005;3,504501;4916,000000;-1932825970,235869;0,397868;0,040000;0,300000;0,095760;0,027245;0,933579;0,601375;0,069965;0,038095;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,210922;0,802080;0,111782;3,511724;4916,000000;-1967256636,774353;0,398090;0,040000;0,300000;0,081889;0,029893;0,916667;0,559928;0,054237;0,025926;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,212238;0,792840;0,125485;3,543445;4916,000000;-2059543623,336944;0,419048;0,040000;0,300000;0,086552;0,038933;0,918149;0,626750;0,061205;0,033333;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,209590;0,801570;0,105746;3,508326;4916,000000;-1945873745,784797;0,410705;0,040000;0,300000;0,076144;0,029603;0,896057;0,525617;0,061538;0,016453;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,213314;0,799230;0,128254;3,526796;4916,000000;-2002999982,037465;0,404987;0,040000;0,300000;0,087619;0,040635;0,887681;0,609023;0,072576;0,033395;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,213696;0,813480;0,111626;3,472224;4916,000000;-1836191375,350165;0,386036;0,040000;0,300000;0,090096;0,021530;0,927536;0,534799;0,056734;0,036053;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,207344;0,787560;0,108811;3,561715;4916,000000;-2107524364,772054;0,416884;0,040000;0,300000;0,070425;0,038386;0,879562;0,566069;0,055605;0,010753;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,210854;0,794150;0,118905;3,534510;4916,000000;-2037236235,343578;0,402609;0,040000;0,300000;0,084141;0,034764;0,885017;0,590032;0,065257;0,018248;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,212219;0,801150;0,121831;3,514593;4916,000000;-1969134793,923543;0,399707;0,040000;0,300000;0,085551;0,036280;0,893238;0,581967;0,071359;0,031955;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,213911;0,794750;0,131117;3,531116;4916,000000;-2024166276,290408;0,400914;0,040000;0,300000;0,093522;0,037595;0,915789;0,623867;0,072214;0,034799;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,211900;0,811000;0,108135;3,475711;4916,000000;-1850279166,283633;0,398771;0,040000;0,300000;0,084613;0,023522;0,906475;0,520080;0,066733;0,030246;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,214962;0,809380;0,125225;3,488211;4916,000000;-1877805466,843732;0,402629;0,040000;0,300000;0,092978;0,032248;0,930070;0,576531;0,075996;0,028571;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
13;-0,213957;0,805530;0,123463;3,508500;4916,000000;-1941107867,735783;0,414516;0,040000;0,300000;0,089968;0,033495;0,923345;0,602763;0,066008;0,041509;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
14;-0,210249;0,797690;0,111232;3,519487;4916,000000;-1991841722,014396;0,409106;0,040000;0,300000;0,081911;0,029321;0,931900;0,537770;0,062726;0,034991;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
15;-0,212783;0,788820;0,134326;3,555743;4916,000000;-2097951519,519609;0,437227;0,040000;0,300000;0,086122;0,048204;0,930070;0,642136;0,069274;0,031599;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
16;-0,207855;0,782840;0,117218;3,573898;4916,000000;-2167966664,403725;0,421825;0,040000;0,300000;0,071939;0,045279;0,897059;0,569486;0,069083;0,007055;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
17;-0,210402;0,801880;0,111094;3,504906;4916,000000;-1942164205,512228;0,397260;0,040000;0,300000;0,080724;0,030370;0,890071;0,567164;0,063761;0,022684;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
18;-0,212923;0,805190;0,119948;3,512129;4916,000000;-1964487815,962492;0,413127;0,040000;0,300000;0,085700;0,034248;0,950355;0,586879;0,063272;0,031365;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
19;-0,214356;0,807510;0,121648;3,492071;4916,000000;-1896764032,740350;0,398241;0,040000;0,300000;0,094346;0,027302;0,911032;0,563700;0,076275;0,038760;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
20;-0,213821;0,809620;0,118935;3,497869;4916,000000;-1917926046,079939;0,395758;0,040000;0,300000;0,091162;0,027773;0,888489;0,583045;0,069093;0,023985;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
21;-0,213449;0,810480;0,115403;3,468673;4916,000000;-1847536004,231177;0,390183;0,040000;0,300000;0,093260;0,022143;0,902439;0,516315;0,081871;0,033962;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
22;-0,211806;0,800290;0,117035;3,513603;4916,000000;-1962267388,089526;0,400862;0,040000;0,300000;0,086120;0,030915;0,896057;0,570423;0,070476;0,036232;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
23;-0,213144;0,792090;0,134615;3,548092;4916,000000;-2058080341,932076;0,426913;0,040000;0,300000;0,086148;0,048468;0,917266;0,631195;0,075263;0,041818;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
24;-0,212698;0,811350;0,113300;3,475252;4916,000000;-1843811201,109607;0,383179;0,040000;0,300000;0,087356;0,025944;0,926316;0,532567;0,070408;0,019194;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
25;-0,211030;0,804140;0,110045;3,507768;4916,000000;-1951156393,105597;0,406220;0,040000;0,300000;0,081414;0,028631;0,914894;0,521505;0,061891;0,022346;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
26;-0,209848;0,800850;0,108923;3,518016;4916,000000;-1969626222,091976;0,415146;0,040000;0,300000;0,075738;0,033185;0,913669;0,546961;0,058541;0,023723;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
27;-0,208785;0,781080;0,122589;3,569745;4916,000000;-2121175306,122823;0,431898;0,040000;0,300000;0,073404;0,049185;0,891697;0,616740;0,061162;0,023636;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
28;-0,212627;0,806760;0,114830;3,487291;4916,000000;-1896024889,680749;0,390182;0,040000;0,300000;0,089045;0,025785;0,918149;0,527337;0,069136;0,037665;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
29;-0,212887;0,805010;0,118322;3,501811;4916,000000;-1942419631,381549;0,400014;0,040000;0,300000;0,089938;0,028385;0,919861;0,562823;0,068115;0,024575;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
30;-0,211536;0,801360;0,117192;3,505810;4916,000000;-1963699534,547555;0,400630;0,040000;0,300000;0,085331;0,031861;0,914894;0,574669;0,074040;0,035782;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
