Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,201285;0,650220;0,173835;3,718631;4666,000000;-7189112958,916751;0,118325;0,040000;0,300000;0,073803;0,100032;0,748201;0,480756;0,171821;0,028571;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,197671;0,667100;0,145872;3,698162;4666,000000;-7155727230,248198;0,165977;0,040000;0,300000;0,061682;0,084190;0,711268;0,424028;0,133771;0,027027;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,201161;0,640530;0,179533;3,732512;4666,000000;-7229771507,488943;0,118483;0,040000;0,300000;0,071391;0,108142;0,733096;0,485017;0,186420;0,035235;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,199838;0,676920;0,150502;3,683456;4666,000000;-7104211789,718019;0,203941;0,040000;0,300000;0,067086;0,083416;0,728873;0,447465;0,137061;0,035235;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,201853;0,685130;0,148934;3,665634;4666,000000;-7070033137,738641;0,214748;0,040000;0,300000;0,077521;0,071413;0,678322;0,417044;0,151895;0,022071;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,200569;0,679090;0,149649;3,676237;4666,000000;-7104033105,704824;0,190478;0,040000;0,300000;0,073123;0,076526;0,792388;0,436950;0,132853;0,037288;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,198166;0,622540;0,177679;3,757470;4666,000000;-7265616182,108836;0,086021;0,040000;0,305695;0,058811;0,118867;0,738351;0,484154;0,180526;0,023490;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,198951;0,644420;0,170337;3,723128;4666,000000;-7196984874,515152;0,118254;0,040000;0,300000;0,062566;0,107770;0,748227;0,480822;0,163305;0,040268;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,200835;0,673610;0,155743;3,682877;4666,000000;-7102919645,087963;0,193320;0,040000;0,300000;0,071679;0,084064;0,759717;0,465704;0,138517;0,039049;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,201882;0,590850;0,208367;3,804302;4666,000000;-7365951986,630872;0,011505;0,040000;0,325333;0,069050;0,139318;0,747292;0,534929;0,225056;0,035235;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,198765;0,643860;0,166102;3,727699;4666,000000;-7203813720,428412;0,128289;0,040000;0,300000;0,063347;0,102754;0,712281;0,470547;0,163275;0,020134;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
12;-0,199758;0,678190;0,150033;3,675131;4666,000000;-7089150902,574233;0,225848;0,040000;0,300000;0,066792;0,083241;0,720280;0,444106;0,141901;0,030457;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
13;-0,202976;0,659860;0,176096;3,699202;4666,000000;-7146530561,702926;0,161288;0,040000;0,300000;0,077629;0,098467;0,784452;0,493343;0,168893;0,058725;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
14;-0,199813;0,621070;0,188241;3,754074;4666,000000;-7275215500,458090;0,055662;0,040000;0,303627;0,065188;0,123053;0,780069;0,482213;0,198883;0,018395;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
15;-0,200309;0,607270;0,202915;3,779656;4666,000000;-7333056130,919282;0,024549;0,040000;0,314273;0,063494;0,139421;0,746429;0,531496;0,216033;0,030100;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
16;-0,198907;0,673330;0,144092;3,694144;4666,000000;-7147986358,397245;0,200596;0,040000;0,300000;0,067177;0,076915;0,747331;0,405744;0,137000;0,030354;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
17;-0,199277;0,640660;0,171821;3,731000;4666,000000;-7216246309,338490;0,130186;0,040000;0,300000;0,064274;0,107546;0,695502;0,461168;0,176995;0,035176;0,000456;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
18;-0,201252;0,654760;0,171523;3,712095;4666,000000;-7195313298,371961;0,132410;0,040000;0,300000;0,073540;0,097983;0,803509;0,480110;0,162383;0,033727;0,000455;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
19;-0,200534;0,615250;0,195545;3,762724;4666,000000;-7283711622,853202;0,034669;0,040000;0,306694;0,067440;0,128105;0,740072;0,513372;0,207047;0,021703;0,000455;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
