Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;57852;27190;0;14958;106707,25;84954,67;32012,18;213414,50;0.00;0.00;0,485901;0,084880;0,600802;0,102076;0;0;0,00;916,46;3923,61;0,149580;0,00;0,421480;0,421480
2;57787;27430;0;14783;106482,68;84883,28;31944,80;212965,36;0.00;0.00;0,486521;0,097049;0,599910;0,105514;0;0;0,00;898,93;3937,34;0,147830;0,00;0,422130;0,422130
3;59359;26790;0;13851;109561,36;87532,86;32868,41;219122,73;0.00;0.00;0,474665;0,117656;0,608015;0,089995;0;0;0,00;1013,08;3957,02;0,138510;0,00;0,406410;0,406410
4;59611;25966;0;14423;107610,14;86004,18;32283,04;215220,27;0.00;0.00;0,474627;0,194620;0,608345;0,096130;0;0;0,00;1023,67;3953,21;0,144230;0,00;0,403890;0,403890
5;57665;27862;0;14473;107348,78;85392,60;32204,63;214697,56;0.00;0.00;0,486336;0,102811;0,601814;0,102096;0;0;0,00;901,87;3921,76;0,144730;0,00;0,423350;0,423350
6;57385;27363;0;15252;105622,76;83922,88;31686,83;211245,53;0.00;0.00;0,489349;0,034109;0,599273;0,108971;0;0;0,00;873,76;3924,88;0,152520;0,00;0,426150;0,426150
7;59220;27192;0;13588;109602,52;87393,60;32880,76;219205,04;0.00;0.00;0,475320;0,180430;0,607168;0,094145;0;0;0,00;1001,22;3945,99;0,135880;0,00;0,407800;0,407800
8;59553;26540;0;13907;109040,64;87675,97;32712,19;218081,28;0.00;0.00;0,474302;0,122297;0,606718;0,094088;0;0;0,00;1013,78;3945,39;0,139070;0,00;0,404470;0,404470
9;58708;27124;0;14168;107800,81;86084,97;32340,24;215601,63;0.00;0.00;0,479737;0,163712;0,604132;0,098419;0;0;0,00;960,57;3942,27;0,141680;0,00;0,412920;0,412920
10;58983;27092;0;13925;109456,05;87582,78;32836,82;218912,11;0.00;0.00;0,477241;0,080246;0,606412;0,092877;0;0;0,00;986,04;3935,44;0,139250;0,00;0,410170;0,410170
11;56971;27574;0;15455;105842,56;83715,76;31752,77;211685,12;0.00;0.00;0,492765;0,164261;0,598074;0,111103;0;0;0,00;842,51;3896,97;0,154550;0,00;0,430290;0,430290
12;56279;28041;0;15680;104700,53;83213,99;31410,16;209401,06;0.00;0.00;0,497171;0,112937;0,597519;0,111276;0;0;0,00;790,93;3899,92;0,156800;0,00;0,437210;0,437210
13;57587;27611;0;14802;106826,39;85530,62;32047,92;213652,79;0.00;0.00;0,487395;0,078788;0,600133;0,103201;0;0;0,00;890,90;3927,79;0,148020;0,00;0,424130;0,424130
14;57274;27896;0;14830;106526,26;84717,32;31957,88;213052,53;0.00;0.00;0,489147;0,118709;0,600377;0,105568;0;0;0,00;870,72;3919,29;0,148300;0,00;0,427260;0,427260
15;62512;25061;0;12427;112882,26;91091,82;33864,68;225764,53;0.00;0.00;0,452577;0,133371;0,617274;0,075641;0;0;0,00;1190,59;3991,52;0,124270;0,00;0,374880;0,374880
16;60718;26247;0;13035;110563,34;88430,80;33169,00;221126,69;0.00;0.00;0,465281;0,199286;0,610549;0,086212;0;0;0,00;1086,66;3965,64;0,130350;0,00;0,392820;0,392820
17;56821;28257;0;14922;105960,77;84294,48;31788,23;211921,53;0.00;0.00;0,492264;0,181849;0,598154;0,110432;0;0;0,00;834,65;3904,73;0,149220;0,00;0,431790;0,431790
18;57425;27960;0;14615;106329,73;84744,46;31898,92;212659,47;0.00;0.00;0,488101;0,133502;0,599055;0,105077;0;0;0,00;880,38;3930,62;0,146150;0,00;0,425750;0,425750
19;57502;27577;0;14921;106552,81;84670,71;31965,84;213105,62;0.00;0.00;0,488027;0,159173;0,602624;0,103701;0;0;0,00;889,11;3909,66;0,149210;0,00;0,424980;0,424980
20;58260;26875;0;14865;106571,32;84813,65;31971,40;213142,65;0.00;0.00;0,483719;0,096950;0,602558;0,103241;0;0;0,00;938,93;3934,84;0,148650;0,00;0,417400;0,417400
21;56817;27616;0;15567;104871,95;83121,33;31461,59;209743,90;0.00;0.00;0,493290;0,101194;0,595978;0,112976;0;0;0,00;841,00;3891,32;0,155670;0,00;0,431830;0,431830
22;58166;27123;0;14711;106924,69;85430,75;32077,41;213849,39;0.00;0.00;0,483855;0,174043;0,602914;0,100654;0;0;0,00;935,30;3923,94;0,147110;0,00;0,418340;0,418340
23;59118;27249;0;13633;110151,49;88444,69;33045,45;220302,99;0.00;0.00;0,476116;0,150694;0,609061;0,089335;0;0;0,00;990,65;3949,73;0,136330;0,00;0,408820;0,408820
